Jurisdiction,Year,Flow,Total_price_sector_2019USD
Albania,1989,ABFLOW001,0.0
Albania,1989,ABFLOW002,0.0
Albania,1989,ABFLOW003,0.0
Albania,1989,ABFLOW004,0.0
Albania,1989,ABFLOW005,0.0
Albania,1989,ABFLOW011,0.0
Albania,1989,ABFLOW012,0.0
Albania,1989,ABFLOW013,0.0
Albania,1989,ABFLOW014,0.0
Albania,1989,ABFLOW016,0.0
Albania,1989,ABFLOW017,0.0
Albania,1989,ABFLOW018,0.0
Albania,1989,ABFLOW019,0.0
Albania,1989,ABFLOW020,0.0
Albania,1989,ABFLOW021,0.0
Albania,1989,ABFLOW022,0.0
Albania,1989,ABFLOW023,0.0
Albania,1989,ABFLOW024,0.0
Albania,1989,ABFLOW025,0.0
Albania,1989,ABFLOW026,0.0
Albania,1989,ABFLOW027,0.0
Albania,1989,ABFLOW028,0.0
Albania,1989,ABFLOW029,0.0
Albania,1989,ABFLOW030,0.0
Albania,1989,ABFLOW032,0.0
Albania,1989,ABFLOW033,0.0
Albania,1989,ABFLOW034,0.0
Albania,1989,ABFLOW035,0.0
Albania,1989,ABFLOW036,0.0
Albania,1989,ABFLOW037,0.0
Albania,1989,ABFLOW038,0.0
Albania,1989,ABFLOW039,0.0
Albania,1989,ABFLOW040,0.0
Albania,1990,ABFLOW001,0.0
Albania,1990,ABFLOW002,0.0
Albania,1990,ABFLOW003,0.0
Albania,1990,ABFLOW004,0.0
Albania,1990,ABFLOW005,0.0
Albania,1990,ABFLOW011,0.0
Albania,1990,ABFLOW012,0.0
Albania,1990,ABFLOW013,0.0
Albania,1990,ABFLOW014,0.0
Albania,1990,ABFLOW016,0.0
Albania,1990,ABFLOW017,0.0
Albania,1990,ABFLOW018,0.0
Albania,1990,ABFLOW019,0.0
Albania,1990,ABFLOW020,0.0
Albania,1990,ABFLOW021,0.0
Albania,1990,ABFLOW022,0.0
Albania,1990,ABFLOW023,0.0
Albania,1990,ABFLOW024,0.0
Albania,1990,ABFLOW025,0.0
Albania,1990,ABFLOW026,0.0
Albania,1990,ABFLOW027,0.0
Albania,1990,ABFLOW028,0.0
Albania,1990,ABFLOW029,0.0
Albania,1990,ABFLOW030,0.0
Albania,1990,ABFLOW032,0.0
Albania,1990,ABFLOW033,0.0
Albania,1990,ABFLOW034,0.0
Albania,1990,ABFLOW035,0.0
Albania,1990,ABFLOW036,0.0
Albania,1990,ABFLOW037,0.0
Albania,1990,ABFLOW038,0.0
Albania,1990,ABFLOW039,0.0
Albania,1990,ABFLOW040,0.0
Albania,1991,ABFLOW001,0.0
Albania,1991,ABFLOW002,0.0
