Jurisdiction,Year,ECP_ets_jurGHG_2019USD,ECP_tax_jurGHG_2019USD,ECP_tax_ets_jurGHG_2019USD,ECP_ets_jurCO2_2019USD,ECP_tax_jurCO2_2019USD,ECP_tax_ets_jurCO2_2019USD
Alabama,1989.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,1990.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,1991.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,1992.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,1993.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,1994.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,1995.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,1996.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,1997.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,1998.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,1999.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2001.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2002.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2004.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2005.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2006.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2007.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2008.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2009.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2010.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2011.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2012.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2013.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2014.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2015.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2016.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2017.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2018.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,1989.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,1990.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,1991.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,1992.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,1993.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,1994.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,1995.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,1996.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,1997.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,1998.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,1999.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2001.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2002.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2004.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2005.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2006.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2007.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2008.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2009.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2010.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2011.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2012.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2013.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2014.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2015.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2016.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2017.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,2018.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1989.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1990.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1991.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1992.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1993.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1994.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1995.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1996.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1997.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1998.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1999.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2001.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2002.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2004.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2005.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2006.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2007.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2008.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2009.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2010.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2011.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2012.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2013.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2014.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2015.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2016.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2017.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2018.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,1989.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,1990.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,1991.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,1992.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,1993.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,1994.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,1995.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,1996.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,1997.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,1998.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,1999.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2001.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2002.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2004.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2005.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2006.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2007.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2008.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2009.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2010.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2011.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2012.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2013.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2014.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2015.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2016.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2017.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,2018.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1989.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1990.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1991.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1992.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1993.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1994.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1995.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1996.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1997.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1998.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1999.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,2001.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,2002.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,2004.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,2005.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,2006.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,2007.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,2008.0,0.0,0.0,0.0,0.0,0.0,0.0
