regionName,sector,year,co2_int,ccost_int
Arab region,Agriculture,2021.0,3.624668559164567e-08,0.0
Arab region,Air transport,2021.0,7.603138976871571e-08,0.0
Arab region,Arts and recreation,2021.0,7.404881016093066e-10,0.0
Arab region,Basic metals,2021.0,7.468591199258528e-07,0.0
Arab region,Beverage,2021.0,2.249062033119822e-07,0.0
Arab region,Cement lime plaster prod,2021.0,4.876428827571681e-06,0.0
Arab region,Cereals,2021.0,3.0001489012681767e-07,0.0
Arab region,Coke oven products,2021.0,3.580981133393923e-07,0.0
Arab region,Comp electronics & optical,2021.0,1.2301176625028863e-08,0.0
Arab region,Construction,2021.0,7.158010403595844e-08,0.0
Arab region,Dairy,2021.0,9.698619763114003e-08,0.0
Arab region,Education,2021.0,6.577001776717944e-10,0.0
Arab region,Electric power & gas,2021.0,2.9719421227423854e-06,0.0
Arab region,Electrical equipment,2021.0,4.558134272279688e-08,0.0
Arab region,Fabricated metal products,2021.0,1.9228129407580766e-07,0.0
Arab region,Fertilizers,2021.0,1.3476077460787097e-07,0.0
Arab region,Finance & Insurance,2021.0,3.738406941012197e-10,0.0
Arab region,Fish,2021.0,9.308306294490904e-07,0.0
Arab region,Fishing,2021.0,9.258837682315125e-10,0.0
Arab region,Forestry,2021.0,4.4454709923020546e-07,0.0
Arab region,Fruit,2021.0,8.1905451888692e-07,0.0
Arab region,Furniture & other manuf,2021.0,5.368874802122831e-08,0.0
Arab region,Gas extraction,2021.0,7.658124589906325e-08,0.0
Arab region,Gov security order,2021.0,1.4795137961817896e-08,0.0
Arab region,Hard coal,2021.0,3.0343823198527816e-07,0.0
Arab region,Health and social work,2021.0,1.2179708842912797e-09,0.0
Arab region,Hospitality,2021.0,1.4775426262849641e-09,0.0
Arab region,IT,2021.0,1.327837163421163e-09,0.0
Arab region,Lignite and peat,2021.0,8.536133459717848e-07,0.0
Arab region,Machinery and equipment,2021.0,1.1174864485258796e-07,0.0
Arab region,Meat,2021.0,1.0101808406430723e-07,0.0
Arab region,Motor vehicles & trans equip,2021.0,7.339559746352842e-08,0.0
Arab region,Other chemicals,2021.0,2.8080558733124893e-07,0.0
Arab region,Other food,2021.0,2.7654315582417213e-07,0.0
Arab region,Other mining & quarrying,2021.0,2.39372121729409e-07,0.0
Arab region,Other non-metallic minerals,2021.0,1.2849617560288808e-06,0.0
Arab region,Other services,2021.0,2.5591554796598798e-08,0.0
Arab region,Paint glues detergents,2021.0,7.88338962907243e-07,0.0
Arab region,Petroleum extraction,2021.0,2.2149533030805354e-08,0.0
Arab region,Pharma,2021.0,3.158591385313744e-07,0.0
Arab region,Pipeline transport,2021.0,7.147642801473877e-07,0.0
Arab region,Postal & courier,2021.0,5.796033655284659e-07,0.0
Arab region,Printing,2021.0,2.1832813467297165e-07,0.0
Arab region,Property and real estate,2021.0,4.2379640380071274e-10,0.0
Arab region,Publishing,2021.0,2.2964434800875424e-08,0.0
Arab region,Rail transport,2021.0,7.488395764569242e-09,0.0
Arab region,Refined petroleum products,2021.0,6.982940461775291e-07,0.0
Arab region,Rep and instal of machinery,2021.0,1.3607272595502167e-07,0.0
Arab region,Road transport,2021.0,2.8968040599283993e-06,0.0
Arab region,Rubber & plastic,2021.0,1.2973944694881722e-07,0.0
Arab region,Sawmill pulp paper,2021.0,1.4459955441037943e-06,0.0
Arab region,Services to transport,2021.0,2.1523613051916442e-07,0.0
Arab region,Telecomm,2021.0,1.866364856812212e-10,0.0
Arab region,Textiles & leather,2021.0,7.538859715092488e-08,0.0
Arab region,Tobacco,2021.0,5.7921368943776323e-08,0.0
Arab region,Veg,2021.0,4.5761609034912104e-07,0.0
Arab region,Waste & recycling,2021.0,4.988662891212881e-07,0.0
Arab region,Water & sewage,2021.0,7.095465562344072e-08,0.0
Arab region,Water transport,2021.0,0.0,0.0
Arab region,Ws retail repair m vehicles,2021.0,2.2115556640704312e-08,0.0
Australia,Agriculture,2021.0,4.280148968017258e-08,0.0
Australia,Air transport,2021.0,2.0215642782659342e-07,0.0
Australia,Arts and recreation,2021.0,6.713290222803237e-11,0.0
Australia,Basic metals,2021.0,2.7185589004736626e-07,0.0
Australia,Beverage,2021.0,1.7646532646323606e-08,0.0
Australia,Cement lime plaster prod,2021.0,9.136625645310516e-07,0.0
Australia,Cereals,2021.0,1.343418338390237e-07,0.0
Australia,Coke oven products,2021.0,2.10797892563022e-06,0.0
Australia,Comp electronics & optical,2021.0,6.583945465261164e-09,0.0
Australia,Construction,2021.0,9.820400083038433e-09,0.0
Australia,Dairy,2021.0,1.5402715343334956e-08,0.0
Australia,Education,2021.0,9.109755248393481e-11,0.0
Australia,Electric power & gas,2021.0,3.3846542426414638e-06,0.0
Australia,Electrical equipment,2021.0,5.01933674685081e-08,0.0
Australia,Fabricated metal products,2021.0,6.56256715209057e-08,0.0
Australia,Fertilizers,2021.0,8.729740394040156e-08,0.0
Australia,Finance & Insurance,2021.0,1.928151202849563e-11,0.0
Australia,Fish,2021.0,1.7828309264277953e-07,0.0
Australia,Fishing,2021.0,9.866291613134873e-11,0.0
Australia,Forestry,2021.0,4.752183555960099e-08,0.0
Australia,Fruit,2021.0,2.1133843673670622e-07,0.0
Australia,Furniture & other manuf,2021.0,3.346987505249246e-08,0.0
Australia,Gas extraction,2021.0,1.1321036989566315e-08,0.0
Australia,Gov security order,2021.0,5.217322497985397e-08,0.0
Australia,Hard coal,2021.0,2.0136426280692054e-08,0.0
Australia,Health and social work,2021.0,1.051991129258772e-10,0.0
Australia,Hospitality,2021.0,1.479326019929544e-10,0.0
Australia,IT,2021.0,7.643777632227042e-11,0.0
Australia,Lignite and peat,2021.0,2.581331817023504e-07,0.0
Australia,Machinery and equipment,2021.0,4.214528843899198e-08,0.0
Australia,Meat,2021.0,1.304948320047885e-08,0.0
Australia,Motor vehicles & trans equip,2021.0,3.128467008260051e-08,0.0
Australia,Other chemicals,2021.0,5.81687929415149e-07,0.0
Australia,Other food,2021.0,5.648962316955376e-08,0.0
Australia,Other mining & quarrying,2021.0,9.546207692684995e-09,0.0
Australia,Other non-metallic minerals,2021.0,5.64006181894042e-07,0.0
Australia,Other services,2021.0,4.151960454213671e-09,0.0
Australia,Paint glues detergents,2021.0,3.83327413115941e-07,0.0
Australia,Petroleum extraction,2021.0,1.0228575418387598e-08,0.0
Australia,Pharma,2021.0,3.864135587167045e-08,0.0
Australia,Pipeline transport,2021.0,1.28824960891317e-07,0.0
Australia,Postal & courier,2021.0,7.471939365248206e-08,0.0
Australia,Printing,2021.0,2.7801582900365578e-08,0.0
Australia,Property and real estate,2021.0,3.788115611083257e-11,0.0
Australia,Publishing,2021.0,6.920799927865986e-09,0.0
Australia,Rail transport,2021.0,3.405623889809257e-07,0.0
Australia,Refined petroleum products,2021.0,7.65795039638971e-07,0.0
Australia,Rep and instal of machinery,2021.0,3.066759623465287e-08,0.0
Australia,Road transport,2021.0,6.817836735125332e-07,0.0
Australia,Rubber & plastic,2021.0,3.566099587641552e-08,0.0
Australia,Sawmill pulp paper,2021.0,2.3034674152073521e-07,0.0
Australia,Services to transport,2021.0,2.1144400382247198e-08,0.0
Australia,Telecomm,2021.0,4.604423638027243e-11,0.0
Australia,Textiles & leather,2021.0,4.720543224885004e-08,0.0
Australia,Tobacco,2021.0,4.3983636097375154e-08,0.0
Australia,Veg,2021.0,1.4192862982700682e-07,0.0
Australia,Waste & recycling,2021.0,1.5225971773973348e-07,0.0
Australia,Water & sewage,2021.0,3.760929583647867e-09,0.0
Australia,Water transport,2021.0,3.604716587187266e-08,0.0
Australia,Ws retail repair m vehicles,2021.0,8.165615925662814e-10,0.0
Austria,Agriculture,2021.0,1.5304981329777357e-08,2.0324691964697932e-07
Austria,Air transport,2021.0,1.960375507393869e-09,4.495985219358045e-09
Austria,Arts and recreation,2021.0,1.223482344080496e-10,0.0
Austria,Basic metals,2021.0,4.186722206313566e-07,2.5025841218133463e-05
Austria,Beverage,2021.0,6.37753415175643e-09,3.51887660254098e-07
Austria,Cement lime plaster prod,2021.0,1.144991289497134e-06,1.984360104497274e-05
Austria,Cereals,2021.0,6.975179668813259e-08,3.8996127324656216e-06
Austria,Coke oven products,2021.0,3.336600170129336e-07,1.0077041118204243e-05
Austria,Comp electronics & optical,2021.0,1.672654910563668e-09,9.58849058224816e-08
Austria,Construction,2021.0,8.651071655057261e-09,4.483727211858054e-07
Austria,Dairy,2021.0,1.070916290996732e-08,5.824907663715446e-07
Austria,Education,2021.0,9.328595403203393e-11,0.0
Austria,Electric power & gas,2021.0,5.447143845782546e-07,3.395961213461025e-05
Austria,Electrical equipment,2021.0,2.4932701453892486e-09,1.4777216669379662e-07
Austria,Fabricated metal products,2021.0,6.6293244414316564e-09,3.910386977040357e-07
Austria,Fertilizers,2021.0,2.5107792277317534e-08,1.3733584076640078e-06
Austria,Finance & Insurance,2021.0,3.905515610373506e-11,0.0
Austria,Fish,2021.0,4.559479668042604e-07,2.6491671132603685e-05
Austria,Fishing,2021.0,9.355488837466725e-11,0.0
Austria,Forestry,2021.0,3.281027293229029e-08,1.9193831822378705e-06
Austria,Fruit,2021.0,9.283636859740876e-08,5.16106369078111e-06
Austria,Furniture & other manuf,2021.0,5.847237409818444e-09,3.3572266871283755e-07
Austria,Gas extraction,2021.0,7.7529099797496e-08,3.5213719877436377e-06
Austria,Gov security order,2021.0,2.784870060606235e-10,0.0
Austria,Hard coal,2021.0,2.871858550005373e-07,2.5168349214760072e-06
Austria,Health and social work,2021.0,9.92108335591171e-11,0.0
Austria,Hospitality,2021.0,1.8540051847134693e-10,0.0
Austria,IT,2021.0,2.159642148199898e-10,0.0
Austria,Lignite and peat,2021.0,9.227316297970409e-08,2.337782548838616e-06
Austria,Machinery and equipment,2021.0,2.9932483343501366e-09,1.6325289116829633e-07
Austria,Meat,2021.0,1.1333589834160775e-08,6.314572078040096e-07
Austria,Motor vehicles & trans equip,2021.0,4.031975853644367e-09,2.2048720551124535e-07
Austria,Other chemicals,2021.0,1.021909690273765e-07,5.642483161673041e-06
Austria,Other food,2021.0,4.109398334497305e-08,2.308472013102634e-06
Austria,Other mining & quarrying,2021.0,4.568159075767664e-08,2.5391318550991846e-06
Austria,Other non-metallic minerals,2021.0,3.5934473367130453e-07,1.0484691552650075e-05
Austria,Other services,2021.0,3.2684645088397073e-09,1.351626575242076e-07
Austria,Paint glues detergents,2021.0,1.1678143373727014e-07,6.332444256118269e-06
Austria,Petroleum extraction,2021.0,8.506684821775558e-09,4.893502382157773e-07
Austria,Pharma,2021.0,2.7903415003801624e-10,1.5299071705045247e-08
Austria,Pipeline transport,2021.0,5.8873665968710975e-08,0.0
Austria,Postal & courier,2021.0,3.941875211706879e-08,0.0
Austria,Printing,2021.0,1.0678363545995843e-09,6.152958604750599e-08
Austria,Property and real estate,2021.0,2.1763972422108302e-11,0.0
Austria,Publishing,2021.0,1.2968668132717946e-09,7.058482366774147e-08
Austria,Rail transport,2021.0,9.019347008018566e-09,0.0
Austria,Refined petroleum products,2021.0,1.8485662298649944e-07,1.0772313288457967e-05
Austria,Rep and instal of machinery,2021.0,3.7654846303107604e-09,0.0
Austria,Road transport,2021.0,3.506174272947917e-07,0.0
Austria,Rubber & plastic,2021.0,6.295213154453847e-09,3.541269374650711e-07
Austria,Sawmill pulp paper,2021.0,1.0824623916542361e-07,6.1925880744086125e-06
Austria,Services to transport,2021.0,9.597315035763165e-09,0.0
Austria,Telecomm,2021.0,3.653256056114383e-11,0.0
Austria,Textiles & leather,2021.0,8.0293215762046e-09,4.581493000766885e-07
Austria,Tobacco,2021.0,8.273596813959957e-09,4.604274846810442e-07
Austria,Veg,2021.0,1.540816189104687e-07,8.717862843811607e-06
Austria,Waste & recycling,2021.0,4.1756735207633034e-08,5.802295766902152e-07
Austria,Water & sewage,2021.0,7.62387635635308e-09,4.273846658650238e-07
Austria,Water transport,2021.0,7.060227984554738e-10,0.0
Austria,Ws retail repair m vehicles,2021.0,2.4340939370166174e-10,0.0
Bangladesh,Agriculture,2021.0,2.9377977855682496e-08,0.0
Bangladesh,Air transport,2021.0,0.0,0.0
Bangladesh,Arts and recreation,2021.0,4.3647809889197636e-10,0.0
Bangladesh,Basic metals,2021.0,3.231371092564816e-07,0.0
Bangladesh,Beverage,2021.0,3.568614253964189e-07,0.0
Bangladesh,Cement lime plaster prod,2021.0,6.061668605022542e-07,0.0
Bangladesh,Cereals,2021.0,3.400194337289869e-08,0.0
Bangladesh,Coke oven products,2021.0,1.7984547847031435e-06,0.0
Bangladesh,Comp electronics & optical,2021.0,2.992710481464732e-08,0.0
Bangladesh,Construction,2021.0,2.0778677248204056e-08,0.0
Bangladesh,Dairy,2021.0,5.549137820088326e-08,0.0
Bangladesh,Education,2021.0,3.895879407911494e-10,0.0
Bangladesh,Electric power & gas,2021.0,3.702851378107972e-06,0.0
Bangladesh,Electrical equipment,2021.0,1.7583512828213573e-08,0.0
Bangladesh,Fabricated metal products,2021.0,3.920428375844718e-08,0.0
Bangladesh,Fertilizers,2021.0,7.323155991530694e-08,0.0
Bangladesh,Finance & Insurance,2021.0,2.0937749734096e-10,0.0
Bangladesh,Fish,2021.0,1.3446518547193697e-07,0.0
Bangladesh,Fishing,2021.0,3.020055569392693e-11,0.0
Bangladesh,Forestry,2021.0,2.425855371044165e-07,0.0
Bangladesh,Fruit,2021.0,1.3873377028290039e-06,0.0
Bangladesh,Furniture & other manuf,2021.0,7.523571188976422e-08,0.0
Bangladesh,Gas extraction,2021.0,1.9374988462095842e-08,0.0
Bangladesh,Gov security order,2021.0,1.1137931275732858e-09,0.0
Bangladesh,Hard coal,2021.0,6.790406298792207e-09,0.0
Bangladesh,Health and social work,2021.0,1.8465269893527836e-09,0.0
Bangladesh,Hospitality,2021.0,2.9397349520606773e-10,0.0
Bangladesh,IT,2021.0,1.9068865525504224e-09,0.0
Bangladesh,Lignite and peat,2021.0,4.601259318036634e-09,0.0
Bangladesh,Machinery and equipment,2021.0,3.418612056786475e-07,0.0
Bangladesh,Meat,2021.0,3.3490267789932206e-08,0.0
Bangladesh,Motor vehicles & trans equip,2021.0,2.669512162580415e-07,0.0
Bangladesh,Other chemicals,2021.0,1.616271909171191e-06,0.0
Bangladesh,Other food,2021.0,8.17305440346374e-08,0.0
Bangladesh,Other mining & quarrying,2021.0,1.237197837351287e-07,0.0
Bangladesh,Other non-metallic minerals,2021.0,1.563547625244233e-06,0.0
Bangladesh,Other services,2021.0,1.3322643224366082e-08,0.0
Bangladesh,Paint glues detergents,2021.0,1.1408071728011417e-06,0.0
Bangladesh,Petroleum extraction,2021.0,5.144027014393386e-07,0.0
Bangladesh,Pharma,2021.0,3.022556087007718e-08,0.0
Bangladesh,Pipeline transport,2021.0,1.0176687540021567e-09,0.0
Bangladesh,Postal & courier,2021.0,7.595239163338608e-08,0.0
Bangladesh,Printing,2021.0,4.79033545432206e-08,0.0
Bangladesh,Property and real estate,2021.0,3.042462277552323e-10,0.0
Bangladesh,Publishing,2021.0,1.1407182902209989e-09,0.0
Bangladesh,Rail transport,2021.0,4.2350143559615557e-07,0.0
Bangladesh,Refined petroleum products,2021.0,6.383922750942585e-06,0.0
Bangladesh,Rep and instal of machinery,2021.0,2.19439003601414e-07,0.0
Bangladesh,Road transport,2021.0,6.745775190757436e-07,0.0
Bangladesh,Rubber & plastic,2021.0,8.374827802035951e-08,0.0
Bangladesh,Sawmill pulp paper,2021.0,6.963045093367032e-07,0.0
Bangladesh,Services to transport,2021.0,5.21019217451773e-09,0.0
Bangladesh,Telecomm,2021.0,2.6995530743106954e-10,0.0
Bangladesh,Textiles & leather,2021.0,7.087112818246897e-09,0.0
Bangladesh,Tobacco,2021.0,1.691414068497183e-08,0.0
Bangladesh,Veg,2021.0,1.1423247313423574e-07,0.0
Bangladesh,Waste & recycling,2021.0,2.197919647329468e-06,0.0
Bangladesh,Water & sewage,2021.0,2.649500496175662e-07,0.0
Bangladesh,Water transport,2021.0,9.712554946250614e-07,0.0
Bangladesh,Ws retail repair m vehicles,2021.0,6.296010373086854e-10,0.0
Belgium,Agriculture,2021.0,2.659749758824084e-08,9.897516831159518e-07
Belgium,Air transport,2021.0,1.782346378949489e-10,1.6487094319752843e-11
Belgium,Arts and recreation,2021.0,2.2466582007710952e-10,0.0
Belgium,Basic metals,2021.0,1.2872326923301816e-07,7.763731919290482e-06
Belgium,Beverage,2021.0,2.1779548580033755e-08,1.273348526693658e-06
Belgium,Cement lime plaster prod,2021.0,1.3300194885639272e-06,1.6981340629099758e-05
Belgium,Cereals,2021.0,6.937620739702373e-08,4.119628306130788e-06
Belgium,Coke oven products,2021.0,2.717197401808552e-07,1.3651859687554882e-05
Belgium,Comp electronics & optical,2021.0,1.1242353761597341e-09,6.415706965976104e-08
Belgium,Construction,2021.0,1.610215137857806e-08,9.335818753455433e-07
Belgium,Dairy,2021.0,1.9057160429390685e-08,1.1062541110323755e-06
Belgium,Education,2021.0,2.926242165981433e-10,0.0
Belgium,Electric power & gas,2021.0,9.547822394063482e-07,5.970676129838485e-05
Belgium,Electrical equipment,2021.0,2.8887225626698836e-09,1.7492485518464145e-07
Belgium,Fabricated metal products,2021.0,6.471909513620208e-09,3.857658695374184e-07
