regionName,year,int_co2_em,int_co2_val
Arab region,2021.0,4.237209954455347e-06,0.0
Australia,2021.0,1.0172394033794552e-06,0.0
Austria,2021.0,8.944542283587259e-07,5.0388248230927674e-05
Bangladesh,2021.0,2.580928506559083e-06,0.0
Belgium,2021.0,9.411091659572324e-07,5.544148841435954e-05
Brazil,2021.0,2.1088337381799007e-06,0.0
Bulgaria,2021.0,1.200960688834463e-06,7.100468170872761e-05
Canada,2021.0,1.2421946406653194e-06,0.0
China,2021.0,2.2733638839302904e-06,0.0
Croatia,2021.0,1.173586341135936e-06,5.756909832543425e-05
Cyprus,2021.0,9.571656002982526e-07,5.556890085734363e-05
Czech Republic,2021.0,1.121452228638826e-06,6.580994251307822e-05
Denmark,2021.0,3.576823622131127e-07,1.8081098763549712e-05
Estonia,2021.0,6.718987876007315e-07,3.1017975019514865e-05
Finland,2021.0,1.7715075386018853e-07,2.054168608352705e-05
France,2021.0,7.670799397437045e-07,4.1508252501695276e-05
Germany,2021.0,9.16220831161801e-07,4.968058323406173e-05
Greece,2021.0,8.530657887984854e-07,4.1736316827192264e-05
Hungary,2021.0,2.4169598559784997e-06,0.00014507150332074273
India,2021.0,8.16783913050217e-06,0.0
Indonesia,2021.0,2.159407343858771e-06,0.0
Ireland,2021.0,5.733475769937006e-07,2.9808392044142315e-05
Italy,2021.0,3.2655563707544923e-07,1.6785872778601116e-05
Japan,2021.0,1.183292293193807e-06,2.965188847556803e-06
Latvia,2021.0,4.0957069861206635e-07,1.3579946826077745e-05
Lithuania,2021.0,3.994272026310021e-07,2.046298096450297e-05
Luxembourg,2021.0,2.004519240331887e-07,1.1042914454580994e-05
Malta,2021.0,1.532952040365302e-07,3.594441603699586e-06
Mexico,2021.0,1.1903228021873944e-06,1.116654257688686e-06
Netherlands,2021.0,5.819755161008606e-07,3.482217891743275e-05
Nigeria,2021.0,7.644029577329475e-07,0.0
Norway,2021.0,2.6064066906560516e-07,1.2872355311698432e-05
Poland,2021.0,1.177021971641288e-06,5.96592913240642e-05
Portugal,2021.0,6.373981716080247e-07,3.447336257833734e-05
Rest of Africa,2021.0,6.405345312974018e-07,0.0
Rest of Americas,2021.0,6.619000965812947e-07,0.0
Rest of Asia-Pacific,2021.0,1.2147384584627218e-06,0.0
Rest of Europe,2021.0,5.749742630292892e-07,0.0
Romania,2021.0,2.2947588610692866e-06,0.00013587825797537866
Russian Federation,2021.0,3.4000967279934074e-06,0.0
Slovak Republic,2021.0,1.0415916135924816e-06,6.282135741560993e-05
Slovenia,2021.0,9.810182073964621e-07,6.268354240484823e-05
South Africa,2021.0,2.863741637366275e-06,2.4554005876478505e-05
Spain,2021.0,5.520946981959864e-07,2.7883531699287907e-05
Sweden,2021.0,2.365025521386188e-07,1.0441175003358742e-05
Switzerland,2021.0,3.0069990809614366e-07,1.405588400228922e-05
Turkey,2021.0,2.343647956923086e-06,0.0
Ukraine,2021.0,3.857719670431174e-06,1.2411036491718232e-06
United Kingdom,2021.0,5.403427128730867e-07,3.109911490610337e-05
United States,2021.0,1.0090754086962422e-06,0.0
