"year","gloria_sector","gloria_sector_name","paidShare_a_md","paidShare_a_um","paidShare_a_wm","sum_verified","sum_allocatedFreeM","sum_allocatedTotal","sum_surrendered","n_installations","sector"
2005,"6_7","Aggregate (see variable gloria_sector)",0,0.079341101574463,0.0660805662796261,273787,358968,358968,273787,16,"6_7 Aggregate (see variable gloria_sector)"
2005,"10","Growing crops n.e.c.",0,0,0,95691,133326,133326,95691,5,"10 Growing crops n.e.c."
2005,"11","Growing grapes",0,0,0,65722,87443,87443,65722,4,"11 Growing grapes"
2005,"24","Hard coal",0.0604760753987434,0.0604760753987434,0.0604760753987434,16552,15551,15551,16552,1,"24 Hard coal"
2005,"25","Lignite and peat",0,0,0,49079,122829,122829,49079,2,"25 Lignite and peat"
2005,"26","Petroleum extraction",0,0.0437351869291276,0.0443808476186763,13643588,15089692,15089692,13856730,97,"26 Petroleum extraction"
2005,"27","Gas extraction",0,0.080167430094624,0.108738372928226,1782048,1832748,1832748,1782048,32,"27 Gas extraction"
2005,"28","Iron ores",0,0.0180271687287557,0.0033483116430377,6270623,14092003,14092003,6270623,8,"28 Iron ores"
2005,"37","Quarrying of stone, sand and clay",0,0,0,57989,106362,106362,57989,3,"37 Quarrying of stone, sand and clay"
2005,"38","Chemical and fertilizer minerals",0,0,0,38539,92268,92268,38539,1,"38 Chemical and fertilizer minerals"
2005,"39","Extraction of salt",0,0,0,588671,683157,683157,588671,4,"39 Extraction of salt"
2005,"40","Mining and quarrying n.e.c.; services to mining",0,0.0348147710367926,0.0144973624675365,716958,819950,819950,711593,10,"40 Mining and quarrying n.e.c.; services to mining"
2005,"41_42_43_44_45","Aggregate (see variable gloria_sector)",0,0.0442640704945397,0.0443183350512754,437539,569449,569449,427401,35,"41_42_43_44_45 Aggregate (see variable gloria_sector)"
2005,"46","Fish products",0,0,0,206308,325006,325006,206308,7,"46 Fish products"
2005,"47","Cereal products",0,0.0487500428132539,0.0555579211416646,2371975,2439749,2439749,2206448,30,"47 Cereal products"
2005,"48_49","Aggregate (see variable gloria_sector)",0.00579306855552745,0.0680183470749063,0.0600112402882528,941257,993670,993670,1093266,40,"48_49 Aggregate (see variable gloria_sector)"
2005,"50","Food products and feeds n.e.c.",0,0.0717148844960044,0.0795993242771337,916352,1083192,1083192,857893,52,"50 Food products and feeds n.e.c."
2005,"51","Sugar refining; cocoa, chocolate and confectionery",0,0.0203537467335344,0.030557283562047,5674490,6958839,6958839,5422830,141,"51 Sugar refining; cocoa, chocolate and confectionery"
2005,"52_53","Aggregate (see variable gloria_sector)",0,0.0260792041836061,0.0345139300008153,1410445,1747499,1747499,1388920,40,"52_53 Aggregate (see variable gloria_sector)"
2005,"54","Dairy products",0,0.0260731247954692,0.0244060280349688,2283862,2662941,2662941,2195002,98,"54 Dairy products"
2005,"55","Alcoholic and other  beverages",0,0.0354020199825375,0.0386627597462738,1371242,1618953,1618953,1401686,75,"55 Alcoholic and other  beverages"
2005,"56","Tobacco products",0,0.0576399989896519,0.0464876517175125,42678,49814,49814,42678,5,"56 Tobacco products"
2005,"57","Textiles and clothing",0,0.0117882213978897,0.0160368679997909,898991,1385682,1385682,888193,89,"57 Textiles and clothing"
2005,"58","Leather and footwear",0,0,0,3902,5016,5016,3902,1,"58 Leather and footwear"
2005,"59","Sawmill products",0,0.0617766925237769,0.0659274379360347,1833713,2675275,2675275,1868312,85,"59 Sawmill products"
2005,"60","Pulp and paper",0,0.0393574322813594,0.0203139874281695,23189145,28743893,28743893,22380409,544,"60 Pulp and paper"
2005,"61","Printing",0,0.0138522427440633,0.00208259545229156,70585,74136,74136,70585,4,"61 Printing"
2005,"62","Coke oven products",0,0.0151019658986696,0.00407789525784457,5859150,8344852,8344852,5894057,21,"62 Coke oven products"
2005,"63","Refined petroleum products",0,0.0284689105276268,0.0217846251729371,111831853,118477546,118477546,102587666,106,"63 Refined petroleum products"
2005,"64","Nitrogenous fertilizers",0,0.0313864739683452,0.0173999958497327,3469656,4066784,4066784,3469647,39,"64 Nitrogenous fertilizers"
2005,"65_70","Aggregate (see variable gloria_sector)",0,0.0246747322100752,0.0381864917719195,585495,654848,654848,577775,21,"65_70 Aggregate (see variable gloria_sector)"
2005,"66","Basic petrochemical products",0,0.0541821305100353,0.0288303859175103,1966016,2364803,2364803,1925173,38,"66 Basic petrochemical products"
2005,"66_67_68_70","Aggregate (see variable gloria_sector)",0,0.0442976793968303,0.0187225471296167,20935880,24116232,24116232,19216046,154,"66_67_68_70 Aggregate (see variable gloria_sector)"
2005,"69","Pharmaceuticals and medicinal products",0,0.0353112172265692,0.0302156274971303,1605593,2161351,2161351,1562891,75,"69 Pharmaceuticals and medicinal products"
2005,"70","Dyes, paints, glues, detergents and other chemical products",0,0.0140306059292812,0.0122877468144022,1944376,2602882,2602882,2036928,56,"70 Dyes, paints, glues, detergents and other chemical products"
2005,"71","Rubber products",0,0.068425235907827,0.0254657723142239,919548,1059240,1059240,896522,24,"71 Rubber products"
2005,"72","Plastic products",0,0.00942065216068043,0.0101835322258669,227426,264113,264113,227426,14,"72 Plastic products"
2005,"73","Clay building materials",0,0.0384111194727427,0.0381166645237759,9605405,11481029,11481029,8990849,665,"73 Clay building materials"
2005,"73_74_75_76","Aggregate (see variable gloria_sector)",0,0.0679305530713726,0.068875552255582,731319,788651,788651,716706,53,"73_74_75_76 Aggregate (see variable gloria_sector)"
2005,"74","Glass and other ceramics n.e.c.",0,0.0324323293600418,0.0259388727113011,16338104,18665492,18665492,15776023,454,"74 Glass and other ceramics n.e.c."
2005,"75","Cement, lime and plaster products",0,0.0330260148694855,0.0300252870901522,135157109,146040090,146040090,124977140,367,"75 Cement, lime and plaster products"
2005,"76","Other non-metallic mineral products n.e.c.",0,0.0266374033240885,0.00412677071144299,911851,1076192,1076192,1086042,43,"76 Other non-metallic mineral products n.e.c."
2005,"77","Basic iron and steel",0,0,0,523489,547041,547041,523489,5,"77 Basic iron and steel"
2005,"77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0,0.0310873386971556,0.0211384695206718,115082835,140999478,140999478,105747457,182,"77_78_79_80_81_82_83_84 Aggregate (see variable gloria_sector)"
2005,"78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0,0.0712775651955123,0.0936206128221448,3238101,3032049,3032049,3133231,31,"78_79_80_81_82_83_84 Aggregate (see variable gloria_sector)"
2005,"85","Fabricated metal products",0,0.102452823476949,0.0533192675216568,277742,287179,287179,272883,19,"85 Fabricated metal products"
2005,"86","Machinery and equipment",0,0.0251804168112067,0.0152391859898633,234002,298191,298191,221708,23,"86 Machinery and equipment"
2005,"87","Motor vehicles, trailers and semi-trailers",0,0.0785421507035547,0.0512347632311978,1121875,1408025,1408025,1069936,65,"87 Motor vehicles, trailers and semi-trailers"
2005,"88","Other transport equipment",0,0.0920225588587067,0.126537577151156,413150,423817,423817,405997,36,"88 Other transport equipment"
2005,"89","Repair and installation of machinery and equipment (service)",0,0.000756646216768916,0.00122469920394552,60423,66058,66058,60423,4,"89 Repair and installation of machinery and equipment (service)"
2005,"90","Computers; electronic products; optical and precision instruments",0,0.0655771982022011,0.0611087135627133,127445,152225,152225,127445,12,"90 Computers; electronic products; optical and precision instruments"
2005,"91","Electrical equipment",0,0.0233217688198689,0.0145462664010442,116456,150437,150437,116457,12,"91 Electrical equipment"
2005,"92","Furniture and other manufacturing n.e.c",0,0.0528905893418788,0.0926455264189364,104603,101385,101385,107172,7,"92 Furniture and other manufacturing n.e.c"
2005,"93","Electric power generation, transmission and distribution",0,0.10472550712764,0.126306866736026,1037136257,990162256,990162256,1023531706,1303,"93 Electric power generation, transmission and distribution"
2005,"93_94","Aggregate (see variable gloria_sector)",0,0.0926380802312349,0.188822392645252,31717414,29173004,29173004,31719730,124,"93_94 Aggregate (see variable gloria_sector)"
2005,"94","Distribution of gaseous fuels through mains",0,0.0911381670805421,0.0277900969061804,110945349,132610078,132610078,107502354,2054,"94 Distribution of gaseous fuels through mains"
2005,"95","Water collection, treatment and supply; sewerage",0,0.13193836487129,0.193528763164899,26301,83422,83422,26321,13,"95 Water collection, treatment and supply; sewerage"
2005,"96","Waste collection, treatment, and disposal",0,0.048871103345919,0.0154197601370645,110313,291525,291525,110313,6,"96 Waste collection, treatment, and disposal"
2005,"97","Materials recovery",0,0.0413760405387848,0.0890514786418401,114125,137361,137361,67375,5,"97 Materials recovery"
2005,"98","Building construction",0.278055555555556,0.278055555555556,0.278055555555556,7200,5198,5198,2002,1,"98 Building construction"
2005,"99","Civil engineering construction",0,0,0,5381,7837,7837,5381,2,"99 Civil engineering construction"
2005,"100","Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,16583,18804,18804,16583,1,"100 Wholesale and retail trade; repair of motor vehicles and motorcycles"
2005,"102","Rail transport",0,0,0,9935,10374,10374,9870,2,"102 Rail transport"
2005,"103","Transport via pipeline",0.157393077357703,0.245413400101987,0.251248616831777,995902,872034,872034,995901,27,"103 Transport via pipeline"
2005,"106","Services to transport",0.0217009973437578,0.159458807442865,0.185883800830727,487525,468753,468753,359314,23,"106 Services to transport"
2005,"109","Publishing",0,0,0,12,297,297,12,1,"109 Publishing"
2005,"110","Telecommunications",0.0273037542662116,0.0273037542662116,0.0447463044346784,2503,2480,2480,2675,2,"110 Telecommunications"
2005,"111","Information services",0.275735294117647,0.243482782646213,0.233455882352941,544,417,417,544,3,"111 Information services"
2005,"112","Finance and insurance",0,0,0,2848,2950,2950,2848,1,"112 Finance and insurance"
2005,"113","Property and real estate",0,0.0147754777645316,0.022024507574851,167132,246310,246310,167132,9,"113 Property and real estate"
2005,"114","Professional, scientific and technical services",0.102510226311934,0.0796628365988341,0.0871530636246031,136048,126930,126930,120356,8,"114 Professional, scientific and technical services"
2005,"115","Administrative services",0.175655616031667,0.175655616031667,0.165501165501166,4290,4276,4276,4290,2,"115 Administrative services"
2005,"116","Government; social security; defence; public order",0.00578140772689731,0.0671653078727809,0.0845317755044843,228352,223900,223900,228352,28,"116 Government; social security; defence; public order"
2005,"117","Education",0.0345089516673553,0.0751813299077582,0.0738040110476622,326947,324329,324329,326653,38,"117 Education"
2005,"118","Human health and social work activities",0.0636629099231761,0.102523750876179,0.090691621045462,1209781,1229375,1229375,1227247,130,"118 Human health and social work activities"
2006,"6_7","Aggregate (see variable gloria_sector)",0,0.066385810504547,0.0514894516041409,265064,375555,375555,272231,17,"6_7 Aggregate (see variable gloria_sector)"
2006,"10","Growing crops n.e.c.",0,0.0141257245765097,0.0119339118031618,84130,114709,114709,96565,6,"10 Growing crops n.e.c."
2006,"11","Growing grapes",0,0,0,60884,87443,87443,61015,4,"11 Growing grapes"
2006,"20","Raising of animals n.e.c.; services to agriculture",0.126016260162602,0.126016260162602,0.126016260162602,1722,1505,1505,3549,1,"20 Raising of animals n.e.c.; services to agriculture"
2006,"24","Hard coal",0.0438979403627421,0.0438979403627421,0.0438979403627421,16265,15551,15551,16265,1,"24 Hard coal"
2006,"25","Lignite and peat",0,0,0,30087,55547,55547,30087,1,"25 Lignite and peat"
2006,"26","Petroleum extraction",0,0.0467978342924329,0.0357069949656712,13353518,14901937,14901937,13766239,101,"26 Petroleum extraction"
2006,"27","Gas extraction",0.00629391045813149,0.0742473716138037,0.074719119096993,1719145,1832747,1832747,1719175,32,"27 Gas extraction"
2006,"28","Iron ores",0,0.0326835010083162,0.00730526209480882,7406442,13941383,13941383,7406442,8,"28 Iron ores"
