"year","country","gloria_sector","gloria_sector_name","paidShare_a_md","paidShare_a_um","paidShare_a_wm","sum_verified","sum_allocatedFreeM","sum_allocatedTotal","sum_surrendered","n_installations"
2005,"Austria","27","Gas extraction",0,0,0,42999,46585,46585,42999,2
2005,"Austria","40","Mining and quarrying n.e.c.; services to mining",0,0,0,236600,287795,287795,236600,1
2005,"Austria","47","Cereal products",0.0565873318446708,0.0565873318446708,0.0386292024129309,107587,113285,113285,107587,2
2005,"Austria","48_49","Aggregate (see variable gloria_sector)",0.39212175470009,0.39212175470009,0.39212175470009,13404,8148,8148,13404,1
2005,"Austria","51","Sugar refining; cocoa, chocolate and confectionery",0,0,0,187037,200469,200469,187037,3
2005,"Austria","55","Alcoholic and other  beverages",0,0,0,7529,12632,12632,7529,2
2005,"Austria","57","Textiles and clothing",0,0.00144512610770279,0.00161674089439326,32782,37287,37287,32782,3
2005,"Austria","59","Sawmill products",0,0.0528495131557396,0.100341477312611,242183,259693,259693,242183,10
2005,"Austria","60","Pulp and paper",0,0.0251443467051893,0.0119642842130926,1903248,1998386,1998386,1903248,23
2005,"Austria","63","Refined petroleum products",0.0375592916240555,0.0375592916240555,0.0375592916240555,2826917,2720740,2720740,2826917,1
2005,"Austria","64","Nitrogenous fertilizers",0,0,0,86583,87252,87252,86583,1
2005,"Austria","66","Basic petrochemical products",0,0,0,15315,20622,20622,15315,2
2005,"Austria","66_67_68_70","Aggregate (see variable gloria_sector)",0,0,0,276117,319152,319152,276117,3
2005,"Austria","69","Pharmaceuticals and medicinal products",0,0,0,76251,77562,77562,76251,1
2005,"Austria","70","Dyes, paints, glues, detergents and other chemical products",0,0,0,268015,384360,384360,268015,3
2005,"Austria","71","Rubber products",0,0,0,19762,65624,65624,19762,2
2005,"Austria","73","Clay building materials",0,0.0580609850410467,0.0511035457629023,320467,336288,336288,320978,28
2005,"Austria","73_74_75_76","Aggregate (see variable gloria_sector)",0,0.0150076346094182,0.0430661266671322,286420,293552,293552,286420,5
2005,"Austria","74","Glass and other ceramics n.e.c.",0.00349721679829802,0.0463366127173695,0.0533590444325254,234918,234104,234104,234918,10
2005,"Austria","75","Cement, lime and plaster products",0,0.0270637654358025,0.0341239526590974,3428325,3576758,3576758,3428325,16
2005,"Austria","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0.0181008370096627,0.0752666364532121,0.00824789512417512,8222219,9184171,9184171,8222219,8
