,year,CO2_price,region
0,1989,0.0,oecd
1,1990,0.0036957612664110092,oecd
2,1991,0.135722002347955,oecd
3,1992,0.1807525168790055,oecd
4,1993,0.19561975764702846,oecd
5,1994,0.21029783016934706,oecd
6,1995,0.2039549052495193,oecd
7,1996,0.21084638847723197,oecd
8,1997,0.21385558160664223,oecd
9,1998,0.2314798518787888,oecd
10,1999,0.22332936583973884,oecd
11,2000,0.20143301519619403,oecd
12,2001,0.20649829648181567,oecd
13,2002,0.22173427810470855,oecd
14,2003,0.24475511472418107,oecd
15,2004,0.2612986057307277,oecd
16,2005,3.242327799396935,oecd
17,2006,2.721142750065984,oecd
18,2007,0.32807926884796346,oecd
19,2008,2.4602719654512324,oecd
20,2009,1.827993940175284,oecd
21,2010,1.9374415572667998,oecd
22,2011,1.8148319734863703,oecd
23,2012,1.497857342080901,oecd
24,2013,1.2393117248562127,oecd
25,2014,1.4985957632702014,oecd
26,2015,1.7693626429640632,oecd
27,2016,1.6379035060664742,oecd
28,2017,1.8841334223644979,oecd
29,2018,2.934682982867513,oecd
30,2019,3.586500610590925,oecd
31,2020,3.421316306911615,oecd
32,2021,5.5112854296827525,oecd
33,2022,7.063946987936392,oecd
34,2023,6.472842721185438,oecd
35,2024,6.150505361184544,oecd
0,1989,0.0,MiddleIncome
1,1990,0.0,MiddleIncome
2,1991,0.0,MiddleIncome
3,1992,0.0,MiddleIncome
4,1993,0.0,MiddleIncome
5,1994,0.0,MiddleIncome
6,1995,0.0,MiddleIncome
7,1996,0.0,MiddleIncome
8,1997,0.0,MiddleIncome
9,1998,0.0,MiddleIncome
10,1999,0.0,MiddleIncome
11,2000,0.0,MiddleIncome
12,2001,0.0,MiddleIncome
13,2002,0.0,MiddleIncome
14,2003,0.0,MiddleIncome
15,2004,0.0,MiddleIncome
16,2005,0.0,MiddleIncome
17,2006,0.0,MiddleIncome
18,2007,0.006322221303912332,MiddleIncome
19,2008,0.1403389203505289,MiddleIncome
20,2009,0.08417042313031699,MiddleIncome
21,2010,0.08133512762130068,MiddleIncome
22,2011,0.0768931896973675,MiddleIncome
23,2012,0.03585711171932451,MiddleIncome
24,2013,0.2330787806412915,MiddleIncome
25,2014,0.29492179596429186,MiddleIncome
26,2015,0.19877341983654614,MiddleIncome
27,2016,0.18044118824014108,MiddleIncome
28,2017,0.17793385558515798,MiddleIncome
29,2018,0.24587404384622585,MiddleIncome
30,2019,0.4323977845144791,MiddleIncome
31,2020,0.433047812824829,MiddleIncome
32,2021,1.7827693895241297,MiddleIncome
33,2022,2.2054587114486277,MiddleIncome
34,2023,2.301512979991015,MiddleIncome
35,2024,3.220943450152106,MiddleIncome
0,1989,0.0,eu27
1,1990,0.011686304472299455,eu27
2,1991,0.22840076412424348,eu27
3,1992,0.3130812458983533,eu27
4,1993,0.3804010223785776,eu27
5,1994,0.41977056786383876,eu27
6,1995,0.42273114110677423,eu27
7,1996,0.43964354920918847,eu27
8,1997,0.4824780421596414,eu27
9,1998,0.5330934475983182,eu27
10,1999,0.5393704050624282,eu27
11,2000,0.5119046569161143,eu27
12,2001,0.5753408991457967,eu27
13,2002,0.6322814391902214,eu27
14,2003,0.6903896864897627,eu27
15,2004,0.7742378717527963,eu27
16,2005,10.503056874659851,eu27
17,2006,8.658354091229773,eu27
18,2007,1.0311900654639456,eu27
19,2008,8.66783572117735,eu27
20,2009,6.45880216830048,eu27
21,2010,6.823476490662661,eu27
22,2011,6.465963145217939,eu27
23,2012,3.955487080540694,eu27
24,2013,2.6432940836282173,eu27
25,2014,3.380523121884427,eu27
26,2015,4.154815671619416,eu27
27,2016,3.148160571178876,eu27
28,2017,3.389956768492958,eu27
29,2018,6.896236196531916,eu27
30,2019,8.900104935283471,eu27
31,2020,7.969051081269357,eu27
32,2021,16.57114109696732,eu27
33,2022,22.84094324872343,eu27
34,2023,22.119070912382966,eu27
35,2024,20.095070809909682,eu27
0,1989,0.0,AsiaPacific
1,1990,0.0,AsiaPacific
2,1991,0.0,AsiaPacific
3,1992,0.0,AsiaPacific
4,1993,0.0,AsiaPacific
5,1994,0.0,AsiaPacific
6,1995,0.0,AsiaPacific
7,1996,0.0,AsiaPacific
8,1997,0.0,AsiaPacific
9,1998,0.0,AsiaPacific
10,1999,0.0,AsiaPacific
11,2000,0.0,AsiaPacific
12,2001,0.0,AsiaPacific
13,2002,0.0,AsiaPacific
14,2003,0.0,AsiaPacific
15,2004,0.0,AsiaPacific
16,2005,0.0,AsiaPacific
17,2006,0.0,AsiaPacific
18,2007,0.0,AsiaPacific
19,2008,0.0,AsiaPacific
20,2009,0.0,AsiaPacific
21,2010,0.014443728080705247,AsiaPacific
22,2011,0.011175876793245628,AsiaPacific
23,2012,0.26098276244163754,AsiaPacific
24,2013,0.5093164957662627,AsiaPacific
25,2014,0.565273883680528,AsiaPacific
26,2015,0.23850975768802662,AsiaPacific
27,2016,0.26682194982366314,AsiaPacific
28,2017,0.26194797073493287,AsiaPacific
29,2018,0.2580187156103303,AsiaPacific
30,2019,0.31326126167951013,AsiaPacific
31,2020,0.34355596351679973,AsiaPacific
32,2021,2.011715884343306,AsiaPacific
33,2022,2.508783194506612,AsiaPacific
34,2023,2.6850241830372354,AsiaPacific
35,2024,3.858926641060759,AsiaPacific
