ipcc_code,year,ecp_ets_sectCO2_usd_k,ecp_tax_sectCO2_usd_k,ecp_all_sectCO2_usd_k
0,1989,0.0,0.0,0.0
0,1990,0.0,0.0,0.0
0,1991,0.0,0.0,0.0
0,1992,0.0,0.0,0.0
0,1993,0.0,0.0,0.0
0,1994,0.0,0.0,0.0
0,1995,0.0,0.0,0.0
0,1996,0.0,0.0,0.0
0,1997,0.0,0.0,0.0
0,1998,0.0,0.0,0.0
0,1999,0.0,0.0,0.0
0,2000,0.0,0.0,0.0
0,2001,0.0,0.0,0.0
0,2002,0.0,0.0,0.0
0,2003,0.0,0.0,0.0
0,2004,0.0,0.0,0.0
0,2005,0.0,0.0,0.0
0,2006,0.0,0.0,0.0
0,2007,0.0,0.0,0.0
0,2008,0.0,0.0,0.0
0,2009,0.0,0.0,0.0
0,2010,0.0,0.0,0.0
0,2011,0.0,0.0,0.0
0,2012,0.0,0.0,0.0
0,2013,0.0,0.0,0.0
0,2014,0.0,0.0,0.0
0,2015,0.0,0.0,0.0
0,2016,0.0,0.0,0.0
0,2017,0.0,0.0,0.0
0,2018,0.0,0.0,0.0
0,2019,0.0,0.0,0.0
0,2020,0.0,0.0,0.0
0,2021,0.0,0.0,0.0
0,2022,0.0,0.0,0.0
0,2023,0.0,0.0,0.0
0,2024,0.0,0.0,0.0
1,1989,0.0,0.0,0.0
1,1990,0.0,0.0,0.0
1,1991,0.0,0.0,0.0
1,1992,0.0,0.0,0.0
1,1993,0.0,0.0,0.0
1,1994,0.0,0.0,0.0
1,1995,0.0,0.0,0.0
1,1996,0.0,0.0,0.0
1,1997,0.0,0.0,0.0
1,1998,0.0,0.0,0.0
1,1999,0.0,0.0,0.0
1,2000,0.0,0.0,0.0
1,2001,0.0,0.0,0.0
1,2002,0.0,0.0,0.0
1,2003,0.0,0.0,0.0
1,2004,0.0,0.0,0.0
1,2005,0.0,0.0,0.0
1,2006,0.0,0.0,0.0
1,2007,0.0,0.0,0.0
1,2008,0.0,0.0,0.0
1,2009,0.0,0.0,0.0
1,2010,0.0,0.0,0.0
1,2011,0.0,0.0,0.0
1,2012,0.0,0.0,0.0
1,2013,0.0,0.0,0.0
1,2014,0.0,0.0,0.0
1,2015,0.0,0.0,0.0
1,2016,0.0,0.0,0.0
1,2017,0.0,0.0,0.0
1,2018,0.0,0.0,0.0
1,2019,0.0,0.0,0.0
1,2020,0.0,0.0,0.0
1,2021,0.0,0.0,0.0
1,2022,0.0,0.0,0.0
1,2023,0.0,0.0,0.0
1,2024,0.0,0.0,0.0
1A,1989,0.0,0.0,0.0
1A,1990,0.0,0.0,0.0
1A,1991,0.0,0.0,0.0
1A,1992,0.0,0.0,0.0
1A,1993,0.0,0.0,0.0
1A,1994,0.0,0.0,0.0
1A,1995,0.0,0.0,0.0
1A,1996,0.0,0.0,0.0
1A,1997,0.0,0.0,0.0
1A,1998,0.0,0.0,0.0
1A,1999,0.0,0.0,0.0
1A,2000,0.0,0.0,0.0
1A,2001,0.0,0.0,0.0
1A,2002,0.0,0.0,0.0
1A,2003,0.0,0.0,0.0
1A,2004,0.0,0.0,0.0
1A,2005,0.0,0.0,0.0
1A,2006,0.0,0.0,0.0
1A,2007,0.0,0.0,0.0
1A,2008,0.0,0.0,0.0
1A,2009,0.0,0.0,0.0
1A,2010,0.0,0.0,0.0
1A,2011,0.0,0.0,0.0
1A,2012,0.0,0.0,0.0
1A,2013,0.0,0.0,0.0
1A,2014,0.0,0.0,0.0
1A,2015,0.0,0.0,0.0
1A,2016,0.0,0.0,0.0
1A,2017,0.0,0.0,0.0
1A,2018,0.0,0.0,0.0
1A,2019,0.0,0.0,0.0
1A,2020,0.0,0.0,0.0
1A,2021,0.0,0.0,0.0
1A,2022,0.0,0.0,0.0
1A,2023,0.0,0.0,0.0
1A,2024,0.0,0.0,0.0
1A1,1989,0.0,0.0,0.0
1A1,1990,0.0,0.0,0.0
1A1,1991,0.0,0.0,0.0
1A1,1992,0.0,0.0,0.0
1A1,1993,0.0,0.0,0.0
1A1,1994,0.0,0.0,0.0
1A1,1995,0.0,0.0,0.0
1A1,1996,0.0,0.0,0.0
1A1,1997,0.0,0.0,0.0
1A1,1998,0.0,0.0,0.0
1A1,1999,0.0,0.0,0.0
1A1,2000,0.0,0.0,0.0
1A1,2001,0.0,0.0,0.0
1A1,2002,0.0,0.0,0.0
1A1,2003,0.0,0.0,0.0
1A1,2004,0.0,0.0,0.0
1A1,2005,0.0,0.0,0.0
1A1,2006,0.0,0.0,0.0
1A1,2007,0.0,0.0,0.0
1A1,2008,0.0,0.0,0.0
1A1,2009,0.0,0.0,0.0
1A1,2010,0.0,0.0,0.0
1A1,2011,0.0,0.0,0.0
1A1,2012,0.0,0.0,0.0
1A1,2013,0.0,0.0,0.0
1A1,2014,0.0,0.0,0.0
1A1,2015,0.0,0.0,0.0
1A1,2016,0.0,0.0,0.0
1A1,2017,0.0,0.0,0.0
1A1,2018,0.0,0.0,0.0
1A1,2019,0.0,0.0,0.0
1A1,2020,0.0,0.0,0.0
1A1,2021,0.0,0.0,0.0
1A1,2022,0.0,0.0,0.0
1A1,2023,0.0,0.0,0.0
1A1,2024,0.0,0.0,0.0
1A1A,1989,0.0,0.0,0.0
1A1A,1990,0.0,0.0,0.0
1A1A,1991,0.0,0.0,0.0
1A1A,1992,0.0,0.0,0.0
1A1A,1993,0.0,0.0,0.0
1A1A,1994,0.0,0.0,0.0
1A1A,1995,0.0,0.0,0.0
1A1A,1996,0.0,0.0,0.0
1A1A,1997,0.0,0.0,0.0
1A1A,1998,0.0,0.0,0.0
1A1A,1999,0.0,0.0,0.0
1A1A,2000,0.0,0.0,0.0
1A1A,2001,0.0,0.0,0.0
1A1A,2002,0.0,0.0,0.0
1A1A,2003,0.0,0.0,0.0
1A1A,2004,0.0,0.0,0.0
1A1A,2005,0.0,0.0,0.0
1A1A,2006,0.0,0.0,0.0
1A1A,2007,0.0,0.0,0.0
1A1A,2008,0.0,0.0,0.0
1A1A,2009,0.0,0.0,0.0
1A1A,2010,0.0,0.0,0.0
1A1A,2011,0.0,0.0,0.0
1A1A,2012,0.0,0.0,0.0
1A1A,2013,0.0,0.0,0.0
1A1A,2014,0.0,0.0,0.0
1A1A,2015,0.0,0.0,0.0
1A1A,2016,0.0,0.0,0.0
1A1A,2017,0.0,0.0,0.0
1A1A,2018,0.0,0.0,0.0
1A1A,2019,0.0,0.0,0.0
1A1A,2020,0.0,0.0,0.0
1A1A,2021,0.0,0.0,0.0
1A1A,2022,0.0,0.0,0.0
1A1A,2023,0.0,0.0,0.0
1A1A,2024,0.0,0.0,0.0
1A1A1,1989,0.0,0.0,0.0
1A1A1,1990,0.0,0.0,0.0
1A1A1,1991,0.0,0.00012465149349199551,0.00012465149349199551
1A1A1,1992,0.0,0.006184993137658618,0.006184993137658618
1A1A1,1993,0.0,0.007258589607907645,0.007258589607907645
1A1A1,1994,0.0,0.015299608530084476,0.015299608530084476
1A1A1,1995,0.0,0.014539278882330302,0.014539278882330302
1A1A1,1996,0.0,0.020287620312636666,0.020287620312636666
1A1A1,1997,0.0,0.00809332689027378,0.00809332689027378
1A1A1,1998,0.0,0.007608666193681094,0.007608666193681094
1A1A1,1999,0.0,0.0065680054879597195,0.0065680054879597195
1A1A1,2000,0.0,0.007698863920202468,0.007698863920202468
1A1A1,2001,0.0,0.004850530825947996,0.004850530825947996
1A1A1,2002,0.0,0.004013943843939694,0.004013943843939694
1A1A1,2003,0.0,0.0014541107459958148,0.0014541107459958148
1A1A1,2004,0.0,0.0011990636164270468,0.0011990636164270468
1A1A1,2005,3.71119532345224,0.00023057710070139737,3.7114259005529417
1A1A1,2006,2.926126034590971,0.00026186901549919754,2.92638790360647
1A1A1,2007,0.11231579351483766,0.0002787053742832992,0.11259449888912096
1A1A1,2008,2.6889435038197615,0.0003459461581209268,2.6892894499778826
1A1A1,2009,1.8391763456695265,0.0003796318706802201,1.8395559775402068
1A1A1,2010,1.8836970194797726,0.0005185975968721692,1.8842156170766449
1A1A1,2011,1.6752389262465572,0.0008006885558503562,1.6760396148024075
1A1A1,2012,0.9071517855702504,0.4841712807108913,1.3913230662811418
1A1A1,2013,0.4935409067654313,0.5737338585658075,1.0672747653312387
1A1A1,2014,0.6006200188577695,0.6659100301484945,1.266530049006264
1A1A1,2015,1.0525909127746877,0.3679497223632116,1.4205406351378993
1A1A1,2016,0.9473532186953332,0.395247433936547,1.34260065263188
1A1A1,2017,1.0769672604549907,0.3768421996158574,1.453809460070848
1A1A1,2018,1.8233639589413366,0.3498869840507394,2.173250942992076
1A1A1,2019,2.3456313668382176,0.5855207607992922,2.93115212763751
1A1A1,2020,1.9662921688114858,0.5739379306841221,2.540230099495608
1A1A1,2021,5.495256038646291,0.5298332940110553,6.0250893326573465
1A1A1,2022,7.409865379088548,0.5121349986494709,7.922000377738019
1A1A1,2023,7.205043428491241,0.5016084363116513,7.706651864802891
1A1A1,2024,7.569278774496634,0.5774677367491721,8.146746511245807
1A1A2,1989,0.0,0.0,0.0
1A1A2,1990,0.0,0.0,0.0
1A1A2,1991,0.0,0.0,0.0
1A1A2,1992,0.0,0.0,0.0
1A1A2,1993,0.0,0.0,0.0
1A1A2,1994,0.0,0.0,0.0
1A1A2,1995,0.0,0.0,0.0
1A1A2,1996,0.0,0.0,0.0
1A1A2,1997,0.0,0.013291604088201167,0.013291604088201167
1A1A2,1998,0.0,0.1378032170272181,0.1378032170272181
1A1A2,1999,0.0,0.11783342259467301,0.11783342259467301
1A1A2,2000,0.0,0.09978499117059667,0.09978499117059667
1A1A2,2001,0.0,0.10275976385625639,0.10275976385625639
1A1A2,2002,0.0,0.1001089352939046,0.1001089352939046
1A1A2,2003,0.0,0.08221479617254024,0.08221479617254024
1A1A2,2004,0.0,0.08501490387004705,0.08501490387004705
1A1A2,2005,4.626253203389002,0.0423518019012075,4.6686050052902095
1A1A2,2006,3.758562872701928,0.04022643061873175,3.79878930332066
1A1A2,2007,0.14511548833183094,0.03852931027949969,0.18364479861133062
1A1A2,2008,3.6000811080524278,0.03711561429811228,3.63719672235054
1A1A2,2009,2.5512175620577016,0.034053762132128094,2.5852713241898297
1A1A2,2010,2.6938570953000522,0.037737706294430684,2.7315948015944826
1A1A2,2011,2.1470079438902596,0.03777247421747243,2.1847804181077324
1A1A2,2012,1.0576554584571387,0.05850657996451538,1.1161620384216542
1A1A2,2013,0.5924761173490007,0.05423724411300539,0.6467133614620062
1A1A2,2014,0.7913739289298495,0.050733819034027336,0.8421077479638768
1A1A2,2015,1.0546704650095342,0.03595080072371788,1.0906212657332521
1A1A2,2016,0.6993051589958772,0.04239507883024751,0.7417002378261247
1A1A2,2017,0.7331033598153123,0.039087811114430944,0.7721911709297432
1A1A2,2018,1.8027233840543269,0.013295710020003097,1.81601909407433
1A1A2,2019,2.566064691906037,0.013873901364926224,2.5799385932709633
1A1A2,2020,2.243489455464866,0.014006587225545382,2.2574960426904114
1A1A2,2021,9.082633984314452,0.011752405159510784,9.094386389473962
1A1A2,2022,11.453799457730327,0.008480134149113853,11.462279591879442
1A1A2,2023,11.855164960163513,0.008226482421529142,11.863391442585042
1A1A2,2024,13.658999099949414,0.009956686106401554,13.668955786055816
1A1A3,1989,0.0,0.0,0.0
1A1A3,1990,0.0,0.0,0.0
1A1A3,1991,0.0,0.0,0.0
1A1A3,1992,0.0,0.04996776862231282,0.04996776862231282
1A1A3,1993,0.0,0.03750848060468894,0.03750848060468894
1A1A3,1994,0.0,0.03525428433725399,0.03525428433725399
1A1A3,1995,0.0,0.028600412634125175,0.028600412634125175
1A1A3,1996,0.0,0.05969229786738182,0.05969229786738182
1A1A3,1997,0.0,0.046654215823692384,0.046654215823692384
1A1A3,1998,0.0,0.04937992089470547,0.04937992089470547
1A1A3,1999,0.0,0.042825661389726856,0.042825661389726856
1A1A3,2000,0.0,0.040859418937957234,0.040859418937957234
1A1A3,2001,0.0,0.0402145595417595,0.0402145595417595
1A1A3,2002,0.0,0.033673377405721405,0.033673377405721405
1A1A3,2003,0.0,0.0345171843948163,0.0345171843948163
1A1A3,2004,0.0,0.028365901291744194,0.028365901291744194
1A1A3,2005,12.686966398132487,0.12596281171091142,12.812929209843398
1A1A3,2006,10.406697529185582,0.12348704610343125,10.530184575289013
1A1A3,2007,0.42398117404125363,0.14197702713014573,0.5659582011713994
1A1A3,2008,10.602163951435934,0.1785186038407922,10.780682555276726
1A1A3,2009,8.308924851965552,0.2158702027059565,8.524795054671507
1A1A3,2010,9.266903394500392,0.4038467474854791,9.670750141985872
1A1A3,2011,7.827683544167926,0.3478343356311702,8.175517879799095
1A1A3,2012,4.360597452746741,0.46897889519459895,4.82957634794134
1A1A3,2013,2.588047328869607,0.5154736317040177,3.1035209605736247
1A1A3,2014,3.711372974290882,0.6540826467610894,4.3654556210519715
1A1A3,2015,4.825178542496061,0.7734229081748781,5.598601450670938
1A1A3,2016,3.142659869017929,0.7548035667916224,3.8974634358095512
1A1A3,2017,3.776126084957745,0.7598430976912038,4.535969182648949
1A1A3,2018,10.070023266249626,0.7804075698867283,10.850430836136352
1A1A3,2019,15.426721524647009,0.8301307470986788,16.256852271745686
1A1A3,2020,13.155473245965553,0.7202665201606222,13.875739766126175
1A1A3,2021,19.582700659546784,0.45013408124227655,20.032834740789063
1A1A3,2022,26.007467504487913,0.4738960386191393,26.48136354310705
1A1A3,2023,25.099281931801784,0.4639004774570635,25.563182409258847
1A1A3,2024,20.056134738230053,0.48499009838060947,20.541124836610663
1A1B,1989,0.0,0.0,0.0
1A1B,1990,0.0,0.0040890923112007925,0.0040890923112007925
1A1B,1991,0.0,0.2757214755583256,0.2757214755583256
1A1B,1992,0.0,0.4240713217800393,0.4240713217800393
1A1B,1993,0.0,0.42667436036875833,0.42667436036875833
1A1B,1994,0.0,0.43990167143886555,0.43990167143886555
1A1B,1995,0.0,0.3964000528043142,0.3964000528043142
1A1B,1996,0.0,0.4504250499252849,0.4504250499252849
1A1B,1997,0.0,0.43946428993918313,0.43946428993918313
1A1B,1998,0.0,0.45239187711659207,0.45239187711659207
1A1B,1999,0.0,0.4586588419489597,0.4586588419489597
1A1B,2000,0.0,0.44289303298725835,0.44289303298725835
1A1B,2001,0.0,0.37777321567598465,0.37777321567598465
1A1B,2002,0.0,0.34702404850440133,0.34702404850440133
1A1B,2003,0.0,0.3959556087074503,0.3959556087074503
1A1B,2004,0.0,0.4496984392140515,0.4496984392140515
1A1B,2005,4.059309470474224,0.44911657086672335,4.508426041340948
1A1B,2006,3.1648855757547465,0.4387442575352224,3.6036298332899688
1A1B,2007,0.12035313445039751,0.3940607523005314,0.5144138867509288
1A1B,2008,3.2075167441959964,0.40721916230933297,3.614735906505329
1A1B,2009,2.2024913408514344,0.440109956145569,2.6426012969970034
1A1B,2010,2.303318490610892,0.39651066253153366,2.6998291531424257
1A1B,2011,2.017641978333287,0.6037563215904237,2.621398299923711
1A1B,2012,1.0538706544162675,0.660213255959493,1.7140839103757604
1A1B,2013,0.5969378630052283,0.6400910929383277,1.237028955943556
1A1B,2014,0.8589207079923847,0.9558442308133273,1.8147649388057119
1A1B,2015,1.4149343000604058,1.1447865470165506,2.5597208470769566
1A1B,2016,1.2517167822671198,1.2590974875872194,2.510814269854339
1A1B,2017,1.3883494872814413,1.4470080049427325,2.8353574922241735
1A1B,2018,2.847483738864661,1.825110828815712,4.672594567680373
1A1B,2019,4.140732212892132,2.0235354980179783,6.16426771091011
1A1B,2020,3.933281088619347,2.0334159933995526,5.966697082018899
1A1B,2021,7.388315962740382,2.086068329259293,9.474384291999677
1A1B,2022,9.475411684200726,1.9038468636887353,11.37925854788946
1A1B,2023,8.672744031934915,2.0506790462821067,10.723423078217023
1A1B,2024,6.6694176266185,2.3723207301147755,9.041738356733276
1A1C,1989,0.0,0.0,0.0
1A1C,1990,0.0,0.0040890923112007925,0.0040890923112007925
1A1C,1991,0.0,0.2757214755583256,0.2757214755583256
1A1C,1992,0.0,0.4240713217800393,0.4240713217800393
1A1C,1993,0.0,0.42667436036875833,0.42667436036875833
1A1C,1994,0.0,0.43990167143886555,0.43990167143886555
1A1C,1995,0.0,0.3964000528043142,0.3964000528043142
1A1C,1996,0.0,0.4504250499252849,0.4504250499252849
1A1C,1997,0.0,0.43946428993918313,0.43946428993918313
1A1C,1998,0.0,0.45239187711659207,0.45239187711659207
1A1C,1999,0.0,0.4586588419489597,0.4586588419489597
1A1C,2000,0.0,0.44289303298725835,0.44289303298725835
1A1C,2001,0.0,0.37777321567598465,0.37777321567598465
1A1C,2002,0.0,0.34702404850440133,0.34702404850440133
1A1C,2003,0.0,0.3959556087074503,0.3959556087074503
1A1C,2004,0.0,0.4496984392140515,0.4496984392140515
1A1C,2005,4.059309470474224,0.44911657086672335,4.508426041340948
1A1C,2006,3.1648855757547465,0.4387442575352224,3.6036298332899688
1A1C,2007,0.12035313445039751,0.3940607523005314,0.5144138867509288
1A1C,2008,3.2075167441959964,0.40721916230933297,3.614735906505329
1A1C,2009,2.2024913408514344,0.440109956145569,2.6426012969970034
1A1C,2010,2.303318490610892,0.39651066253153366,2.6998291531424257
1A1C,2011,2.017641978333287,0.6037563215904237,2.621398299923711
1A1C,2012,1.0538706544162675,0.660213255959493,1.7140839103757604
1A1C,2013,0.5969378630052283,0.6400910929383277,1.237028955943556
1A1C,2014,0.8564197782894298,0.9558442308133273,1.812264009102757
1A1C,2015,1.1145783941374268,1.1447865470165506,2.259364941153977
1A1C,2016,0.7699179438908247,1.2590974875872194,2.029015431478044
1A1C,2017,0.8463165698422462,1.4470080049427325,2.293324574784979
1A1C,2018,2.236879707746259,1.825110828815712,4.061990536561971
1A1C,2019,3.346617123653021,2.0235354980179783,5.370152621670999
1A1C,2020,3.1289128272814892,2.0334159933995526,5.162328820681041
1A1C,2021,6.807289979982439,2.086068329259293,8.893358309241732
1A1C,2022,8.925979364697145,1.9038468636887353,10.82982622838588
1A1C,2023,8.411274644014648,2.0506790462821067,10.461953690296754
1A1C,2024,6.451035578815985,2.3723207301147755,8.82335630893076
1A2,1989,0.0,0.0,0.0
1A2,1990,0.0,0.0,0.0
1A2,1991,0.0,0.0,0.0
1A2,1992,0.0,0.0,0.0
1A2,1993,0.0,0.0,0.0
1A2,1994,0.0,0.0,0.0
1A2,1995,0.0,0.0,0.0
1A2,1996,0.0,0.0,0.0
1A2,1997,0.0,0.0,0.0
1A2,1998,0.0,0.0,0.0
1A2,1999,0.0,0.0,0.0
1A2,2000,0.0,0.0,0.0
1A2,2001,0.0,0.0,0.0
1A2,2002,0.0,0.0,0.0
1A2,2003,0.0,0.0,0.0
1A2,2004,0.0,0.0,0.0
