regionName,year,co2_int,ccost_int
Arab region,2021.0,2.5415836154723964e-05,0.0
Australia,2021.0,1.2627876525607589e-05,0.0
Austria,2021.0,5.325586502223892e-06,0.00019574551530308546
Bangladesh,2021.0,2.6876296784589087e-05,0.0
Belgium,2021.0,1.1870969387574767e-05,0.0005171241294386464
Brazil,2021.0,1.8989954970533994e-05,0.0
Bulgaria,2021.0,5.157955258090788e-05,0.0010023055996703897
Canada,2021.0,1.4770494079048502e-05,0.0
China,2021.0,1.9307395029358925e-05,3.3409188830562126e-05
Croatia,2021.0,1.3449192400515504e-05,0.0005146842330231222
Cyprus,2021.0,1.0849252173421907e-05,0.0003225130080629726
Czech Republic,2021.0,1.0041685793797882e-05,0.0003977699598945231
Denmark,2021.0,3.26344111514485e-06,0.00012934534832963123
Estonia,2021.0,0.00013452547378529426,0.00023579263462676273
Finland,2021.0,4.403771115025285e-06,0.0002995315392566777
France,2021.0,5.805242898565514e-06,0.00022755992092353175
Germany,2021.0,5.275910731111381e-06,0.00020593486428358595
Greece,2021.0,1.01430850093898e-05,0.0003073390503734037
Hungary,2021.0,1.124646700505887e-05,0.0004524717908609689
India,2021.0,4.936589312333587e-05,0.0
Indonesia,2021.0,2.688351722812064e-05,0.0
Ireland,2021.0,4.639510421643595e-06,0.00015421749019175573
Italy,2021.0,4.124814308918621e-06,0.00013210900585016453
Japan,2021.0,1.4462995664269692e-05,2.382770754657551e-05
Latvia,2021.0,5.353283859683661e-06,9.183007420894862e-05
Lithuania,2021.0,8.510200856669685e-06,0.0003251371052369171
Luxembourg,2021.0,2.2531528571547998e-06,4.9042768810495866e-05
Malta,2021.0,2.7580088514528858e-06,0.0001238034032993367
Mexico,2021.0,2.5496713583704436e-05,8.943436844832618e-06
Netherlands,2021.0,5.657845309690381e-06,0.0003046548470622892
Nigeria,2021.0,2.2384201277935008e-05,0.0
Norway,2021.0,7.122403221999548e-06,0.0002869039026463636
Poland,2021.0,1.3659592843035394e-05,0.0005038254059579572
Portugal,2021.0,3.1881546039793264e-05,0.0025280424816007787
Rest of Africa,2021.0,1.8431806471976257e-05,0.0
Rest of Americas,2021.0,1.1263884884849686e-05,0.0
Rest of Asia-Pacific,2021.0,1.577923966081967e-05,0.0
Rest of Europe,2021.0,1.3558776299419022e-05,0.0
Romania,2021.0,1.5094744563519136e-05,0.0006397817845990747
Russian Federation,2021.0,3.353562939569953e-05,0.0
Slovak Republic,2021.0,9.711430891810855e-06,0.00029897058297485347
Slovenia,2021.0,1.0209046114967e-05,0.0002868315775129224
South Africa,2021.0,3.584770808570277e-05,0.0002412291509399425
Spain,2021.0,7.746195170609327e-06,0.0002509529350357003
Sweden,2021.0,2.977277265731168e-06,0.00014643041115789722
Switzerland,2021.0,2.172930465769055e-06,5.666057834277089e-05
Turkey,2021.0,1.8512343666111097e-05,0.0
Ukraine,2021.0,9.090859479238573e-05,9.04216706262987e-06
United Kingdom,2021.0,5.223278035602085e-06,0.00022582881977346178
United States,2021.0,1.2582851849444244e-05,0.0
