year,country,sector,ecp_edgar,co2_edgar_total,co2_edgar_1a,co2_edgar_1a3b,co2_edgar_1a4,co2_edgar_1b,co2_edgar_2,co2_edgar_3,co2_edgar_4,co2_edgar_5
1990,Rest of Americas,Household final consumption P.3h,NA,2973.606262,2973.606262,2081.325307,892.280955,0,0,0,0,0
1990,Rest of Americas,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Americas,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Americas,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Americas,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Americas,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Europe,Household final consumption P.3h,NA,350.9289366,350.9289366,154.0487344,196.8802022,0,0,0,0,0
1990,Rest of Europe,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Europe,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Europe,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Europe,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Europe,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Africa,Household final consumption P.3h,NA,607.0180111,607.0180111,342.4006183,264.6173928,0,0,0,0,0
1990,Rest of Africa,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Africa,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Africa,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Africa,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Africa,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Asia-Pacific,Household final consumption P.3h,NA,22238.26396,22238.26396,11736.35917,10501.90479,0,0,0,0,0
1990,Rest of Asia-Pacific,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Asia-Pacific,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Asia-Pacific,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Asia-Pacific,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Rest of Asia-Pacific,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Afghanistan,Household final consumption P.3h,NA,346.2956642,346.2956642,171.4844254,174.8112388,0,0,0,0,0
1990,Afghanistan,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Afghanistan,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Afghanistan,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Afghanistan,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Afghanistan,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Angola,Household final consumption P.3h,NA,1012.758183,1012.758183,353.8020645,658.956119,0,0,0,0,0
1990,Angola,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Angola,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Angola,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Angola,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Angola,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Albania,Household final consumption P.3h,NA,724.6492191,724.6492191,420.8445977,303.8046215,0,0,0,0,0
1990,Albania,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Albania,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
