year,CO2_price,region
1989,0.0,OECD
1990,0.007125025226419261,OECD
1991,0.2672167815385659,OECD
1992,0.3626459665678702,OECD
1993,0.39731544840350186,OECD
1994,0.4224976690321106,OECD
1995,0.415223400621636,OECD
1996,0.44914907875325183,OECD
1997,0.4521131360715268,OECD
1998,0.4864111051958574,OECD
1999,0.4816694299904569,OECD
2000,0.43935810224564886,OECD
2001,0.44567674600548346,OECD
2002,0.47398192961968577,OECD
2003,0.5249179585700257,OECD
2004,0.554460764524597,OECD
2005,5.493786294119184,OECD
2006,4.602018192050321,OECD
2007,0.6572511846767896,OECD
2008,4.384574033228673,OECD
2009,3.3557564942773777,OECD
2010,3.6392850954157785,OECD
2011,3.394416900062843,OECD
2012,2.777503983959689,OECD
2013,2.3152372631291147,OECD
2014,2.8712036833785737,OECD
2015,3.801392759173588,OECD
2016,3.7858242624890965,OECD
2017,4.307690914837988,OECD
2018,6.6560554591740075,OECD
2019,8.371456494371781,OECD
2020,8.276238847783796,OECD
2021,13.421319136835526,OECD
2022,17.07760207150591,OECD
2023,16.14418779060899,OECD
2024,14.55636809273634,OECD
1989,0.0,EU27
1990,0.02252992229923161,EU27
1991,0.43244530639196416,EU27
1992,0.6126902376399199,EU27
1993,0.7499055854015275,EU27
1994,0.8184949641918905,EU27
1995,0.816217087383652,EU27
1996,0.8926900047069404,EU27
1997,0.9712919738412407,EU27
1998,1.065387344656758,EU27
1999,1.0939793276819703,EU27
2000,1.0367007247393523,EU27
2001,1.1802579806430842,EU27
2002,1.271368117833729,EU27
2003,1.4188631099212285,EU27
2004,1.5797208468760573,EU27
2005,17.162228963770648,EU27
2006,14.225738806367483,EU27
2007,1.979224595258897,EU27
2008,14.71235307352829,EU27
2009,11.0607653111188,EU27
2010,11.96280860199562,EU27
2011,11.210470636677723,EU27
2012,7.468221187133679,EU27
2013,5.142080806001142,EU27
2014,6.5848224390585335,EU27
2015,8.70959308112111,EU27
2016,7.597357999915468,EU27
2017,8.665508535690815,EU27
2018,16.053733577359075,EU27
2019,21.39804682203932,EU27
2020,20.129814906329237,EU27
2021,39.22145095649548,EU27
2022,52.61613461056022,EU27
2023,51.30741978253138,EU27
2024,43.81510031883832,EU27
1989,0.0,AsiaPacific
1990,0.0,AsiaPacific
1991,0.0,AsiaPacific
1992,0.0,AsiaPacific
1993,0.0,AsiaPacific
1994,0.0,AsiaPacific
1995,0.0,AsiaPacific
1996,0.0,AsiaPacific
1997,0.0,AsiaPacific
1998,0.0,AsiaPacific
1999,0.0,AsiaPacific
2000,0.0,AsiaPacific
2001,0.0,AsiaPacific
2002,0.0,AsiaPacific
2003,0.0,AsiaPacific
2004,0.0,AsiaPacific
2005,0.0,AsiaPacific
2006,0.0,AsiaPacific
2007,0.0,AsiaPacific
2008,0.0,AsiaPacific
2009,0.0,AsiaPacific
2010,0.03390089561784773,AsiaPacific
2011,0.02612130388086796,AsiaPacific
2012,0.3332081455669751,AsiaPacific
2013,0.5781093415796554,AsiaPacific
2014,0.6520631245215437,AsiaPacific
2015,0.2740416450022789,AsiaPacific
2016,0.3237018901131035,AsiaPacific
2017,0.31838401252554405,AsiaPacific
2018,0.31328395828601513,AsiaPacific
2019,0.3743330642365554,AsiaPacific
2020,0.40826879895226437,AsiaPacific
2021,2.1276508741731512,AsiaPacific
2022,2.6500209026992825,AsiaPacific
2023,2.809389801007245,AsiaPacific
2024,4.018028227706097,AsiaPacific
1989,0.0,MiddleIncome
1990,0.0,MiddleIncome
1991,0.0,MiddleIncome
1992,0.0,MiddleIncome
1993,0.0,MiddleIncome
1994,0.0,MiddleIncome
1995,0.0,MiddleIncome
1996,0.0,MiddleIncome
1997,0.0,MiddleIncome
1998,0.0,MiddleIncome
1999,0.0,MiddleIncome
2000,0.0,MiddleIncome
2001,0.0,MiddleIncome
2002,0.0,MiddleIncome
2003,0.0,MiddleIncome
2004,0.0,MiddleIncome
2005,0.0,MiddleIncome
2006,0.0,MiddleIncome
2007,0.010051897818109782,MiddleIncome
2008,0.22133023685211034,MiddleIncome
2009,0.12771172471340156,MiddleIncome
2010,0.12434881410700002,MiddleIncome
2011,0.11348060294869669,MiddleIncome
2012,0.05393120410504734,MiddleIncome
2013,0.24271714083804352,MiddleIncome
2014,0.31994247072869697,MiddleIncome
2015,0.2271465801223807,MiddleIncome
2016,0.20191514750219755,MiddleIncome
2017,0.20099364828092858,MiddleIncome
2018,0.3399027233018375,MiddleIncome
2019,0.5475328892726337,MiddleIncome
2020,0.531974266718506,MiddleIncome
2021,1.9490823654191876,MiddleIncome
2022,2.389184348241283,MiddleIncome
2023,2.485857516130986,MiddleIncome
2024,3.402984438418197,MiddleIncome
