jurisdiction,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alberta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048464748730509,0.0462775887294245,0.0478597225945081,0.0535595104542296,0.0569672568796627,0.0541481323936901,0.0542516481710331,0.0521093911822874,0.0485244587585963,0.0507095204199129,0.2542761003309693,0.2818338116133589,0.2861374283676433,0.268116275166747,0.2587194915647119,0.2587194915647119,0.1995788518498107,0.1995788518498107
British Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6138550878559119,0.6386695204861198,0.6245253531357746,0.6240038985684128,0.6344435401812439,0.6312524191165305,0.6356253904201777,0.6280166775925045,0.628190970895044,0.628229109249684,0.6164145508217355,0.6282221687702436,0.6164195251505087,0.6266881308828198,0.6266881308828198,0.6266881308828198,0.6266881308828198
Manitoba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062662712538623,0.6857057661491477,0.695429389275132,0.695429389275132,0.695429389275132,0.695429389275132
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.390707081026427,0.3732489992035405,0.3446339127991333,0.3446339127991333,0.3743689640494829,0.3743689640494829
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041994241433742,0.5243497801057267,0.5527902438870456,0.5527902438870456,0.5183331738853981,0.5183331738853981
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199081323645332,0.0161990628387555,0.0194974549631911,0.0194974549631911,0.0194974549631911,0.0194974549631911
Ontario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7158043557713618,0.7524327497354216,0.74875411506476,0.7413123090894551,0.6556924920969202,0.6556924920969202,0.6556924920969202
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8610082074931396,0.8518062338061833,0.851761491327395,0.851761491327395,0.8432030033204931,0.8432030033204931
Quebec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2040380300149585,0.1995105606096635,0.7365121652638897,0.7446464312669895,0.7302400039820428,0.7327123582001213,0.7267646336383776,0.7065872069860821,0.7094555867067879,0.7094555867067879,0.7094555867067879,0.7094555867067879
Saskatchewan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3774246503925498,0.3819517401737428,0.3635554726154676,0.3635554726154676,0.3635554726154676,0.3635554726154676
