jurisdiction,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3532159221449943,0.3625384998554055,0.3428890170332087,0.3889814433127183,0.4276313089327512,0.4276313089327512,0.4276313089327512
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5841550297854182,0.5662116925239584,0.5577834510358749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4002893101785882,0.3920341827786939,0.3876693693546161,0.3966291132163136,0.3772775727247974,0.3890215340538872,0.3982686158553335,0.4159421243624204,0.3793289181514138,0.3695360429986794,0.3662620387245016,0.3560674172301736,0.3566497217732857,0.3514710599565711,0.362416719030695,0.3465368110974268,0.3403215851770452,0.3747680644975399,0.3747680644975399,0.3758348080299988
Beijing Municipality,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4298342541436464,0.4106548279689234,0.3772775991425509,0.3838096322441079,0.3573361571949641,0.3849363226876808,0.3849363226876808,0.3849363226876808,0.0252218951186489,0.0252218951186489,0.0,0.0
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4338585727256714,0.4281199713042529,0.4209613245245343,0.3887328496206049,0.3807956543072757,0.3879908448974807,0.3806258024039681,0.4120913969658715,0.3724780340455592,0.3843744630993835,0.3747564742640547,0.3655998075988406,0.3753075752387292,0.3831220860584356,0.3899029186298394,0.385466262719555,0.3749817907191703,0.3862890647797314,0.3862890647797314,0.3906287816424219
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7256450021238913,0.7407771230082428,0.7302054529032423,0.7304096159460832,0.7447270553512716,0.7292423213761009,0.7192535829350333,0.7152846617532216,0.7086772859999463,0.6836023207726425,0.6948403634788235,0.6709433776864183,0.6516518894494343,0.6181365132007689,0.6368040145328927,0.6743800592841764,0.6743800592841764,0.6743899458126061
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157063473376964,0.0684012620863158,0.071380659541593,0.0704125662540603,0.0697827744669256,0.0714725506117063,0.0942321056503838,0.0919838410867288,0.1472649320568749,0.1503223799801635,0.2245603421294466,0.3906846823164832,0.4750474620216623,0.4609015381370006,0.4580192196695416,0.4387298652459735,0.417123245340888,0.417123245340888
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5379749748517039,0.5200649381959341,0.5433815712686842,0.5537880583261734,0.5212119259415409,0.5021725592062495,0.5021725592062495,0.5021725592062495
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0532795241766284,0.072758598490062,0.0682848621096323,0.0828399571482792,0.0858529573968731,0.0891121492224653,0.0894377538041673,0.0894377538041673,0.4528792626694871,0.4663210541410107,0.4480502001185988,0.4480502001185988
Chongqing Municipality,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4831625183016105,0.403894472361809,0.4560394412489729,0.4768135739449277,0.5267069508949779,0.5267069508949779,0.5267069508949779,0.0828171885517856,0.0828171885517856,0.0,0.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1058206477494385,0.1144948409027856,0.0948319226413713,0.114495950700795,0.1020982585979306,0.083381385989862,0.083381385989862,0.1953437505770928
