jurisdiction,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3563849051184914,0.3559265802346546,0.8531293899744661,0.8468985792990807,0.8419378736707988,0.8422999864878654,0.8422999864878654,0.8422999864878654,0.8422999864878654,0.8422999864878654,0.8422999864878654,0.8422999864878654
Connecticut,0.0,0.0,0.0,0.0,0.1789624223174615,0.2109940467926489,0.1883796888491105,0.2101865489673632,0.1957995023366317,0.1904974895338952,0.2039247634897376,0.2028868198938835,0.1852037759999988,0.2162474948732686,0.2162474948732686,0.2162474948732686,0.2162474948732686,0.2162474948732686,0.2162474948732686,0.2162474948732686
Delaware,0.0,0.0,0.0,0.0,0.2248689535386713,0.225356415980549,0.2138035627343654,0.2487735582685176,0.2236029762104655,0.2031854687008383,0.1854342187182842,0.2018105258000452,0.1694762809071441,0.1429385989727212,0.1429385989727212,0.1429385989727212,0.1429385989727212,0.1429385989727212,0.1429385989727212,0.1429385989727212
Maine,0.0,0.0,0.0,0.0,0.1385687730620492,0.152924434926727,0.1265789394027571,0.1145718507864446,0.0907125587168968,0.1001521674422158,0.0932357762448922,0.0895563692155855,0.0651865247865947,0.0708337752634,0.0708337752634,0.0708337752634,0.0708337752634,0.0708337752634,0.0708337752634,0.0708337752634
Maryland,0.0,0.0,0.0,0.0,0.3395358175731445,0.3471484999782082,0.3064460445656515,0.2982775870064443,0.2724189412932455,0.2873357615897541,0.2598265209640173,0.2736650434670703,0.2064413248292281,0.2568484511480102,0.2568484511480102,0.2568484511480102,0.2568484511480102,0.2568484511480102,0.2568484511480102,0.2568484511480102
Massachusetts,0.0,0.0,0.0,0.0,0.2464623737490319,0.2540799727764876,0.2131378425252774,0.1964660688132684,0.1930961425999218,0.1685695847513368,0.1732242513255714,0.1705158699839926,0.1629262876246925,0.2448025480995368,0.2448025480995368,0.2448025480995368,0.2448025480995368,0.2448025480995368,0.1224012740497684,0.1224012740497684
New Hampshire,0.0,0.0,0.0,0.0,0.3279268282738046,0.3248132499059124,0.3059718154037292,0.2805525481086879,0.2295493101742997,0.2201465386729344,0.2308789470751641,0.1724467235965576,0.1364267239135158,0.1463838175479385,0.1463838175479385,0.1463838175479385,0.1463838175479385,0.1463838175479385,0.1463838175479385,0.1463838175479385
New Jersey,0.0,0.0,0.0,0.0,0.1352137694699708,0.1698044977183875,0.1512018828062541,0.0,0.0,0.0,0.0,0.0,0.0,0.1677621238941198,0.1677621238941198,0.1677621238941198,0.1677621238941198,0.1677621238941198,0.1677621238941198,0.1677621238941198
New York,0.0,0.0,0.0,0.0,0.2041721245600678,0.2182187046884073,0.2019894417897134,0.1999872414495513,0.1860085999705953,0.1823534144276516,0.1752573434620971,0.1711404708960307,0.1392313127581558,0.1456297622111,0.1456297622111,0.1456297622111,0.1456297622111,0.1456297622111,0.1456297622111,0.1456297622111
Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8843818013834835,0.8843818013834835,0.8843818013834835
Rhode Island,0.0,0.0,0.0,0.0,0.2750936633118426,0.2923226011853108,0.3283448465734846,0.3295403704486285,0.2659238833069939,0.2488501026917379,0.2728845652979936,0.284266067333823,0.2991154431860534,0.303313096561194,0.303313096561194,0.303313096561194,0.303313096561194,0.303313096561194,0.303313096561194,0.303313096561194
Vermont,0.0,0.0,0.0,0.0,0.0008794906806477,0.0008823639730697,0.0009891843132785,0.0005927918569798,0.0009670080261703,0.0008574159193834,0.0004835161489114,0.0006787410050559,0.0011962697221119,0.0006505347200781,0.0006505347200781,0.0006505347200781,0.0006505347200781,0.0006505347200781,0.0006505347200781,0.0006505347200781
Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3582550405717416,0.3582550405717416
