year,ipcc_code,ecp_all_sectCO2_usd_k
1989,Electricity Generation,0.0
1990,Electricity Generation,0.0
1991,Electricity Generation,0.0001246514934919
1992,Electricity Generation,0.0061849931376586
1993,Electricity Generation,0.0072585896079076
1994,Electricity Generation,0.0152996085300844
1995,Electricity Generation,0.0145392788823303
1996,Electricity Generation,0.0202876203126366
1997,Electricity Generation,0.0080933268902737
1998,Electricity Generation,0.007608666193681
1999,Electricity Generation,0.0065680054879597
2000,Electricity Generation,0.0076988639202024
2001,Electricity Generation,0.0048505308259479
2002,Electricity Generation,0.0040139438439396
2003,Electricity Generation,0.0014541107459958
2004,Electricity Generation,0.001199063616427
2005,Electricity Generation,3.7114259005529417
2006,Electricity Generation,2.92638790360647
2007,Electricity Generation,0.1125944988891209
2008,Electricity Generation,2.6892894499778826
2009,Electricity Generation,1.8395559775402068
2010,Electricity Generation,1.8842156170766449
2011,Electricity Generation,1.6760396148024077
2012,Electricity Generation,1.3913230662811418
2013,Electricity Generation,1.0672747653312389
2014,Electricity Generation,1.266530049006264
2015,Electricity Generation,1.4205406351378993
2016,Electricity Generation,1.34260065263188
2017,Electricity Generation,1.453809460070848
2018,Electricity Generation,2.173250942992076
2019,Electricity Generation,2.93115212763751
2020,Electricity Generation,2.540230099495608
2021,Electricity Generation,6.0250893326573465
2022,Electricity Generation,7.922000377738019
2023,Electricity Generation,7.706651864802891
2024,Electricity Generation,8.146746511245807
1989,Other Energy Industries,0.0
1990,Other Energy Industries,0.0040890923112007
1991,Other Energy Industries,0.2757214755583256
1992,Other Energy Industries,0.4240713217800393
1993,Other Energy Industries,0.4266743603687583
1994,Other Energy Industries,0.4399016714388655
1995,Other Energy Industries,0.3964000528043142
1996,Other Energy Industries,0.4504250499252849
1997,Other Energy Industries,0.4394642899391831
1998,Other Energy Industries,0.452391877116592
1999,Other Energy Industries,0.4586588419489597
2000,Other Energy Industries,0.4428930329872583
2001,Other Energy Industries,0.3777732156759846
2002,Other Energy Industries,0.3470240485044013
2003,Other Energy Industries,0.3959556087074503
2004,Other Energy Industries,0.4496984392140515
2005,Other Energy Industries,4.508426041340948
2006,Other Energy Industries,3.6036298332899688
2007,Other Energy Industries,0.5144138867509288
