year,Beijing Municipality,Chongqing Municipality,Fujian Province,Guangdong Province,Hubei Province,Shanghai Municipality,Tianjin Municipality
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0316704159674949,0.0,0.0,0.285166470734993,0.0,0.0535230056657833,0.0537626617623185
2014,0.0313364171583101,0.0313041693152723,0.0,0.2351553448437814,0.0642488126361832,0.0577781054903531,0.0525920968646273
2015,0.0262497470597559,0.01677414344172,0.0,0.0734160499435246,0.0671553913616916,0.0372831963387242,0.0401517068356221
2016,0.0251864045296099,0.0163589041604955,0.0714724434775319,0.056865137186011,0.0477298743165341,0.0155353933816312,0.0348345162461673
2017,0.0223554110778052,0.0043187602611385,0.064750605464781,0.0652503027728048,0.0410467102156123,0.0481433739177706,0.0189232621645991
2018,0.0252985243174072,0.0093322256557045,0.0447695567312974,0.0672700637723281,0.0534598368648221,0.0493233737097793,0.0193847808057772
2019,0.035138776881342,0.0095469338069962,0.0378232437493438,0.1032734243627956,0.0795682816841121,0.0548059026387066,0.0212594434389264
2020,0.0387301458954407,0.0257303753425837,0.0399308949098659,0.1249597232622219,0.0672212931874732,0.0540655336711126,0.0349857542253449
2021,0.0017042762290557,0.0044915294178898,0.0078141346366702,0.018014996386056,0.0152010767184808,0.0196203021365366,0.0171873114975403
2022,0.0023505912437941,0.0056600766780228,0.0104231431695282,0.033857198030067,0.0205989888294983,0.0263823390046083,0.0197390528914766
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
