ctry_name_wb,ctry_name_edgar
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,Angola
Angola,Anguilla
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
"Bahamas, The",Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
,Bermuda
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Brunei Darussalam,Brunei Darussalam
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cabo Verde,Cape Verde
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
,Cayman Islands
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
"Congo, Rep.",Congo
"Congo, Dem. Rep.",Congo_the Democratic Republic of the
,Cook Islands
Costa Rica,Costa Rica
Cote d'Ivoire,Cote d'Ivoire
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czech Republic,Czech Republic
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
Ecuador,Ecuador
"Egypt, Arab Rep.",Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
,Falkland Islands (Malvinas)
Fiji,Fiji
Finland,Finland
France,France
,French Guiana
,French Polynesia
Gabon,Gabon
"Gambia, The",Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
,Gibraltar
Greece,Greece
,Greenland
Grenada,Grenada
,Guadeloupe
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
"Hong Kong SAR, China",Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
"Iran, Islamic Rep.","Iran, Islamic Republic of"
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
"Korea, Dem. Rep.","Korea, Democratic People's Republic of"
"Korea, Rep.","Korea, Republic of"
Kuwait,Kuwait
Kyrgyz Republic,Kyrgyzstan
Lao PDR,Lao People's Democratic Republic
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libyan Arab Jamahiriya
Lithuania,Lithuania
Luxembourg,Luxembourg
"Macao SAR, China",Macao
"Macedonia, FYR","Macedonia, the former Yugoslav Republic of"
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
,Martinique
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Moldova,"Moldova, Republic of"
Mongolia,Mongolia
,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
,Netherlands Antilles
,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
,Reunion
Romania,Romania
Russian Federation,Russian Federation
Rwanda,Rwanda
,Saint Helena
St. Kitts and Nevis,Saint Kitts and Nevis
St. Lucia,Saint Lucia
,Saint Pierre and Miquelon
St. Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia and Montenegro
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovak Republic,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syrian Arab Republic,Syrian Arab Republic
,Taiwan_Province of China
Tajikistan,Tajikistan
Tanzania,Tanzania_United Republic of
Thailand,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
,Turks and Caicos Islands
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States,United States
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
"Venezuela, RB",Venezuela
Vietnam,Viet Nam
,Virgin Islands_British
,Western Sahara
"Yemen, Rep.",Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
