PRODUCTname,Product,PRODUCT
TOTAL,Total,ABPRODUCT001
HARDCOAL,Hard coal (if no detail),ABPRODUCT002
BROWN,Brown coal (if no detail),ABPRODUCT003
ANTCOAL,Anthracite,ABPRODUCT004
COKCOAL,Coking coal,ABPRODUCT005
BITCOAL,Other bituminous coal,ABPRODUCT006
SUBCOAL,Sub-bituminous coal,ABPRODUCT007
LIGNITE,Lignite,ABPRODUCT008
PATFUEL,Patent fuel,ABPRODUCT009
OVENCOKE,Coke oven coke,ABPRODUCT010
GASCOKE,Gas coke,ABPRODUCT011
COALTAR,Coal tar,ABPRODUCT012
BKB,BKB,ABPRODUCT013
GASWKSGS,Gas works gas,ABPRODUCT014
COKEOVGS,Coke oven gas,ABPRODUCT015
BLFURGS,Blast furnace gas,ABPRODUCT016
OGASES,Other recovered gases,ABPRODUCT017
PEAT,Peat,ABPRODUCT018
PEATPROD,Peat products,ABPRODUCT019
OILSHALE,Oil shale,ABPRODUCT020
NATGAS,Natural gas,ABPRODUCT021
CRNGFEED,Crude/NGL/feedstocks (if no detail),ABPRODUCT022
CRUDEOIL,Crude oil,ABPRODUCT023
NGL,Natural gas liquids,ABPRODUCT024
REFFEEDS,Refinery feedstocks,ABPRODUCT025
ADDITIVE,Additives/blending components,ABPRODUCT026
ORIMUL,Orimulsion,ABPRODUCT027
NONCRUDE,Other hydrocarbons,ABPRODUCT028
REFINGAS,Refinery gas,ABPRODUCT029
ETHANE,Ethane,ABPRODUCT030
LPG,Liquefied petroleum gases (LPG),ABPRODUCT031
NONBIOGASO,Motor gasoline excl. biofuels,ABPRODUCT032
AVGAS,Aviation gasoline,ABPRODUCT033
JETGAS,Gasoline type jet fuel,ABPRODUCT034
NONBIOJETK,Kerosene type jet fuel excl. biofuels,ABPRODUCT035
OTHKERO,Other kerosene,ABPRODUCT036
NONBIODIES,Gas/diesel oil excl. biofuels,ABPRODUCT037
RESFUEL,Fuel oil,ABPRODUCT038
NAPHTHA,Naphtha,ABPRODUCT039
WHITESP,White spirit & SBP,ABPRODUCT040
LUBRIC,Lubricants,ABPRODUCT041
BITUMEN,Bitumen,ABPRODUCT042
PARWAX,Paraffin waxes,ABPRODUCT043
PETCOKE,Petroleum coke,ABPRODUCT044
ONONSPEC,Non-specified oil products,ABPRODUCT045
INDWASTE,Industrial waste,ABPRODUCT046
MUNWASTEN,Municipal waste (non-renew),ABPRODUCT047
