IEA,,UKDS,
Total,,Total,ABPRODUCT001
Additives/blending components,,Additives/blending components,ABPRODUCT026
Anthracite,,Anthracite,ABPRODUCT004
Aviation gasoline,,Aviation gasoline,ABPRODUCT033
,,Bitumen,ABPRODUCT042
BKB,,BKB,ABPRODUCT013
Blast furnace gas,,Blast furnace gas,ABPRODUCT016
Brown coal (if no detail),,Brown coal (if no detail),ABPRODUCT003
Coal tar,,Coal tar,ABPRODUCT012
Coke oven coke,,Coke oven coke,ABPRODUCT010
Coke oven gas,,Coke oven gas,ABPRODUCT015
Coking coal,,Coking coal,ABPRODUCT005
Crude oil,,Crude oil,ABPRODUCT023
Crude/NGL/feedstocks (if no detail),,Crude/NGL/feedstocks (if no detail),ABPRODUCT022
Ethane,,Ethane,ABPRODUCT030
Fuel oil,,Fuel oil,ABPRODUCT038
Gas coke,,Gas coke,ABPRODUCT011
Gas works gas,,Gas works gas,ABPRODUCT014
Gas/diesel oil excl. biofuels,,Gas/diesel oil excl. biofuels,ABPRODUCT037
Gasoline type jet fuel,,Gasoline type jet fuel,ABPRODUCT034
Hard coal (if no detail),,Hard coal (if no detail),ABPRODUCT002
,,Industrial waste,ABPRODUCT046
,,Kerosene type jet fuel excl. biofuels,ABPRODUCT035
Lignite,,Lignite,ABPRODUCT008
Liquefied petroleum gases (LPG),,Liquefied petroleum gases (LPG),ABPRODUCT031
,,Lubricants,ABPRODUCT041
Motor gasoline excl. biofuels,,Motor gasoline excl. biofuels,ABPRODUCT032
,,Municipal waste (non-renew),ABPRODUCT047
Naphtha,,Naphtha,ABPRODUCT039
Natural gas,,Natural gas,ABPRODUCT021
Natural gas liquids,,Natural gas liquids,ABPRODUCT024
,,Non-specified oil products,ABPRODUCT045
Oil shale,,Oil shale,ABPRODUCT020
Orimulsion,,Orimulsion,ABPRODUCT027
Other bituminous coal,,Other bituminous coal,ABPRODUCT006
Other hydrocarbons,,Other hydrocarbons,ABPRODUCT028
Other kerosene,,Other kerosene,ABPRODUCT036
,,Other recovered gases,ABPRODUCT017
,,Paraffin waxes,ABPRODUCT043
Patent fuel,,Patent fuel,ABPRODUCT009
Peat,,Peat,ABPRODUCT018
Peat products,,Peat products,ABPRODUCT019
,,Petroleum coke,ABPRODUCT044
Refinery feedstocks,,Refinery feedstocks,ABPRODUCT025
Refinery gas,,Refinery gas,ABPRODUCT029
Sub-bituminous coal,,Sub-bituminous coal,ABPRODUCT007
White spirit & SBP,,White spirit & SBP,ABPRODUCT040
