ipcc_code,assigned_ipcc_code,digits_off,parent_ratio
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
1A,1A,0,1
1A1,1A,1,0.2
1A1A,1A1A,0,1
1A1A1,1A1A,1,0.333333333
1A1A2,1A1A,1,0.333333333
1A1A3,1A1A,1,0.333333333
1A1B,1A1B,0,1
1A1C,1A,2,0.066667
1A2,1A2,0,1
1A2A,1A2,1,0.08
1A2B,1A2,1,0.08
1A2C,1A2,1,0.08
1A2D,1A2,1,0.08
1A2E,1A2,1,0.08
1A2F,1A2,1,0.08
1A2G,1A2,1,0.08
1A2H,1A2,1,0.08
1A2I,1A2,1,0.08
1A2J,1A2,1,0.08
1A2K,1A2,1,0.08
1A2L,1A2,1,0.08
1A2M,1A2,1,0.08
1A3,1A3,0,1.00
1A3A,1A3,1,0.20
1A3A1,1A3A1,0,1.00
1A3A2,1A3,2,0.10
1A3B,1A3B,0,1.00
1A3C,1A3,1,0.20
1A3D,1A3,1,0.20
1A3D1,1A3D1,0,1.00
1A3D2,1A3,2,0.10
1A3E,1A3,1,0.20
1A3E1,1A3,2,0.20
1A4,1A,1,0.20
1A4A,1A4A,0,1.00
1A4B,1A4B,0,1.00
1A4C,1A,2,0.07
1A4C1,1A4C1,0,1.00
1A4C2,1A,3,0.02
1A4C3,1A4C3,0,1.00
1A5,1A5,0,1.00
1A5A,1A5,1,0.33
1A5B,1A5,1,0.33
1A5C,1A5,1,0.33
1B,1B,0,1.00
1B1,1B,1,0.33
1B1A,1B1A,0,1.00
1B1A1,1B1A,1,0.50
1B1A11,1B1A,2,0.13
1B1A12,1B1A,2,0.13
1B1A13,1B1A,2,0.13
1B1A14,1B1A,2,0.13
1B1A2,1B1A,1,0.5
1B1A21,1B1A,2,0.25
1B1A22,1B1A,2,0.25
1B1B,1B,2,0.17
1B2,1B,1,0.33
1B2A,1B,2,0.07
1B2A1,1B2A1,0,1
1B2A2,1B2A2,0,1
1B2A3,1B2A3,0,1
1B2A31,1B2A3,1,0.166666667
1B2A32,1B2A3,1,0.166666667
1B2A33,1B2A3,1,0.166666667
1B2A34,1B2A3,1,0.166666667
1B2A35,1B2A35,0,1
1B2A36,1B2A3,1,0.166666667
1B2B,1B,2,0.166666667
1B2B1,1B2B1,0,1
1B2B2,1B2B2,0,1
1B2B3,1B2B3,0,1
1B2B31,1B2B3,1,0.166666667
1B2B32,1B2B3,1,0.166666667
1B2B33,1B2B3,1,0.166666667
1B2B34,1B2B3,1,0.166666667
1B2B35,1B2B3,1,0.166666667
1B2B36,1B2B36,0,1
1B3,1B,1,0.333333333
1C,,,
1C1,,,
1C1A,,,
1C1B,,,
1C1C,,,
1C2,,,
1C2A,,,
1C2B,,,
1C3,,,
2A,,,
2A1,2A1,0,1
2A2,2A2,0,1
2A3,2A3,0,1
2A4,2A4,0,1
2A4A,2A4,1,0.25
2A4B,2A4,1,0.25
2A4C,2A4,1,0.25
2A4D,2A4,1,0.25
2B,2B,0,1
2B1,2B,1,0.1
2B10,2B,2,0.1
2B2,2B,1,0.1
2B3,2B,1,0.1
2B4,2B,1,0.1
2B5,2B,1,0.1
2B6,2B,1,0.1
2B7,2B,1,0.1
2B8,2B,1,0.1
2B8A,2B,2,0.016667
2B8B,2B,2,0.016667
2B8C,2B,2,0.016667
2B8D,2B,2,0.016667
2B8E,2B,2,0.016667
2B8F,2B,2,0.016667
2B9,2B,1,0.1
2B9A,2B,2,0.05
2B9B,2B,2,0.05
2C,2C,0,1
2C1,2C,1,0.142857143
2C2,2C,1,0.142857143
2C3,2C,1,0.142857143
2C4,2C,1,0.142857143
2C5,2C,1,0.142857143
2C6,2C,1,0.142857143
2C7,2C,1,0.142857143
2D,2D,0,1
2D1,2D,1,0.25
2D2,2D,1,0.25
2D3,2D,1,0.25
2D4,2D,1,0.25
2E,2E,0,1
2E1,2E,1,0.2
2E2,2E,1,0.2
2E3,2E,1,0.2
2E4,2E,1,0.2
2E5,2E,1,0.2
2F,2F,0,1
2F1,2F,1,0.166666667
2F2,2F,1,0.166666667
2F3,2F,1,0.166666667
2F4,2F,1,0.166666667
2F5,2F,1,0.166666667
2F6,2F,1,0.166666667
2G,2G,0,1
2G1,2G,1,0.25
2G2,2G,1,0.25
2G3,2G,1,0.25
2G4,2G,1,0.25
2H,,,
2H1,,,
2H2,,,
2H3,,,
3A,,,
3A1,3A1,0,1
3A2,3A2,0,1
3B,,,
3B1,,,
3B1A,,,
3B1B,,,
3B2,,,
3B2A,,,
3B2B,,,
3B3,,,
3B3A,,,
3B3B,,,
3B4,,,
3B4A,,,
3B4B,,,
3B5,,,
3B5A,,,
3B5B,,,
3B6,,,
3B6A,,,
3B6B,,,
3B6B1,,,
3B6B2,,,
3B6B3,,,
3B6B4,,,
3B6B5,,,
3C,,,
3C1,,,
3C2,3C2,0,1
3C3,3C3,0,1
3C4,3C4,0,1
3C5,3C5,0,1
3C6,3C6,0,1
3C7,3C7,0,1
3C8,,,
3D,,,
3D1,,,
3D2,,,
4A,4A,0,1
4A1,4A,1,0.333333333
4A2,4A,1,0.333333333
4A3,4A,1,0.333333333
4B,4B,0,1
4C,4C,0,1
4C1,4C,1,0.5
4C2,4C,1,0.5
4D,4D,0,1
4D1,4D,1,0.5
4D2,4D,1,0.5
4E,,,
5A,5A,0,1
5A1,5A,1,0.5
5A2,5A,1,0.5
