species,chemical_formula,edgar_label,ar5_gwp_100y
Carbon dioxide,CO2,CO2,1
Methane,CH4,CH4,28
Nitrous oxide,N2O,N2O,265
HCFC-141b,CH3CCl2F,HCFC-141b,782
HCFC-142b,CH3CClF2,HCFC-142b,1980
HFC-23,CHF3,HFC-23,12400
HFC-32,CH2F2,HFC-32,677
HFC-41,CH3F,HFC-41,116
HFC-43-10mee,CF3CHFCHFCF2CF3,HFC-43-10-mee,1650
HFC-125,C2HF5,HFC-125,3170
HFC-134,C2H2F4,HFC-134,1120
HFC-134a,CH2FCF3,HFC-134a,1300
HFC-143,C2H3F3,HFC-143,328
HFC-143a,CF3CH3,HFC-143a,4800
HFC-152,CH2FCH2F,HFC-152,16
HFC-152a,C2H4F2,HFC-152a,138
HFC-161,CH3CH2F,HFC-161,4
HFC-227ea,C3HF7,HFC-227ea,3350
HFC-236cb,CH2FCF2CF3,HFC-236cb,1210
HFC-236ea,CHF2CHFCF3,HFC-236ea,1330
HFC-236fa,C3H2F6,HFC-236fa,8060
HFC-245ca,C3H3F5,HFC-245ca,716
HFC-245fa,CHF2CH2CF3,HFC-245fa,858
HFC-365mfc,CH3CF2CH2CF3,HFC-365mfc,804
Perfluoromethane,CF4,CF4,6630
Perfluoroethane,C2F6,C2F6,11100
Perfluoropropane,C3F8,C3F8,8900
Perfluorobutane,C4F10,C4F10,9200
Perfluorocyclobutane,c-C4F8,c-C4F8,9540
Perfluoropentane,C5F12,C5F12,8550
Perfluorohexane,C6F14,C6F14,7910
Perfluorodecalin,C10F18,C10F18,7190
Perfluorocyclopropane,c-C3F6,c-C3F6,9200
Sulphur hexafluoride,SF6,SF6,23500
Nitrogen trifluoride,NF3,NF3,16100
