jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd,ets_price_usd,ets_2_price_usd,tax_rate_incl_ex_kusd,ets_price_kusd,ets_2_price_kusd,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
France,1989,0,,,,,,,,,,,,,,,,,
France,1989,1,,,,,,,,,,,,,,,,,
France,1989,1A,ABFLOW001,Coal,,,,,,,,,,,,,,,
France,1989,1A,ABFLOW001,Natural gas,,,,,,,,,,,,,,,
France,1989,1A,ABFLOW001,Oil,,,,,,,,,,,,,,,
France,1989,1A1,,Coal,,,,,,,,,,,,,,,
France,1989,1A1,,Natural gas,,,,,,,,,,,,,,,
France,1989,1A1,,Oil,,,,,,,,,,,,,,,
France,1989,1A1A,ABFLOW002,Coal,,,,,,,,,,,,,,,
France,1989,1A1A,ABFLOW002,Natural gas,,,,,,,,,,,,,,,
France,1989,1A1A,ABFLOW002,Oil,,,,,,,,,,,,,,,
France,1989,1A1A1,ABFLOW003,Coal,,,,,,,,,,,,,,,
France,1989,1A1A1,ABFLOW003,Natural gas,,,,,,,,,,,,,,,
France,1989,1A1A1,ABFLOW003,Oil,,,,,,,,,,,,,,,
France,1989,1A1A2,ABFLOW004,Coal,,,,,,,,,,,,,,,
France,1989,1A1A2,ABFLOW004,Natural gas,,,,,,,,,,,,,,,
France,1989,1A1A2,ABFLOW004,Oil,,,,,,,,,,,,,,,
France,1989,1A1A3,ABFLOW005,Coal,,,,,,,,,,,,,,,
France,1989,1A1A3,ABFLOW005,Natural gas,,,,,,,,,,,,,,,
France,1989,1A1A3,ABFLOW005,Oil,,,,,,,,,,,,,,,
France,1989,1A1B,ABFLOW011,Coal,,,,,,,,,,,,,,,
France,1989,1A1B,ABFLOW011,Natural gas,,,,,,,,,,,,,,,
France,1989,1A1B,ABFLOW011,Oil,,,,,,,,,,,,,,,
France,1989,1A1C,ABFLOW011,Coal,,,,,,,,,,,,,,,
France,1989,1A1C,ABFLOW011,Natural gas,,,,,,,,,,,,,,,
France,1989,1A1C,ABFLOW011,Oil,,,,,,,,,,,,,,,
France,1989,1A2,ABFLOW012,Coal,,,,,,,,,,,,,,,
France,1989,1A2,ABFLOW012,Natural gas,,,,,,,,,,,,,,,
France,1989,1A2,ABFLOW012,Oil,,,,,,,,,,,,,,,
France,1989,1A2A,ABFLOW016,Coal,,,,,,,,,,,,,,,
France,1989,1A2A,ABFLOW016,Natural gas,,,,,,,,,,,,,,,
France,1989,1A2A,ABFLOW016,Oil,,,,,,,,,,,,,,,
France,1989,1A2B,ABFLOW018,Coal,,,,,,,,,,,,,,,
France,1989,1A2B,ABFLOW018,Natural gas,,,,,,,,,,,,,,,
France,1989,1A2B,ABFLOW018,Oil,,,,,,,,,,,,,,,
France,1989,1A2C,ABFLOW017,Coal,,,,,,,,,,,,,,,
France,1989,1A2C,ABFLOW017,Natural gas,,,,,,,,,,,,,,,
France,1989,1A2C,ABFLOW017,Oil,,,,,,,,,,,,,,,
France,1989,1A2D,ABFLOW023,Coal,,,,,,,,,,,,,,,
France,1989,1A2D,ABFLOW023,Natural gas,,,,,,,,,,,,,,,
France,1989,1A2D,ABFLOW023,Oil,,,,,,,,,,,,,,,
France,1989,1A2E,ABFLOW022,Coal,,,,,,,,,,,,,,,
France,1989,1A2E,ABFLOW022,Natural gas,,,,,,,,,,,,,,,
France,1989,1A2E,ABFLOW022,Oil,,,,,,,,,,,,,,,
France,1989,1A2F,ABFLOW019,Coal,,,,,,,,,,,,,,,
France,1989,1A2F,ABFLOW019,Natural gas,,,,,,,,,,,,,,,
France,1989,1A2F,ABFLOW019,Oil,,,,,,,,,,,,,,,
France,1989,1A2G,ABFLOW020,Coal,,,,,,,,,,,,,,,
France,1989,1A2G,ABFLOW020,Natural gas,,,,,,,,,,,,,,,
