jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd,ets_price_usd,ets_2_price_usd,tax_rate_incl_ex_kusd,ets_price_kusd,ets_2_price_kusd,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Greece,1989,0,,,,,,,,,,,,,,,,,
Greece,1989,1,,,,,,,,,,,,,,,,,
Greece,1989,1A,ABFLOW001,Coal,,,,,,,,,,,,,,,
Greece,1989,1A,ABFLOW001,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A,ABFLOW001,Oil,,,,,,,,,,,,,,,
Greece,1989,1A1,,Coal,,,,,,,,,,,,,,,
Greece,1989,1A1,,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A1,,Oil,,,,,,,,,,,,,,,
Greece,1989,1A1A,ABFLOW002,Coal,,,,,,,,,,,,,,,
Greece,1989,1A1A,ABFLOW002,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A1A,ABFLOW002,Oil,,,,,,,,,,,,,,,
Greece,1989,1A1A1,ABFLOW003,Coal,,,,,,,,,,,,,,,
Greece,1989,1A1A1,ABFLOW003,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A1A1,ABFLOW003,Oil,,,,,,,,,,,,,,,
Greece,1989,1A1A2,ABFLOW004,Coal,,,,,,,,,,,,,,,
Greece,1989,1A1A2,ABFLOW004,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A1A2,ABFLOW004,Oil,,,,,,,,,,,,,,,
Greece,1989,1A1A3,ABFLOW005,Coal,,,,,,,,,,,,,,,
Greece,1989,1A1A3,ABFLOW005,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A1A3,ABFLOW005,Oil,,,,,,,,,,,,,,,
Greece,1989,1A1B,ABFLOW011,Coal,,,,,,,,,,,,,,,
Greece,1989,1A1B,ABFLOW011,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A1B,ABFLOW011,Oil,,,,,,,,,,,,,,,
Greece,1989,1A1C,ABFLOW011,Coal,,,,,,,,,,,,,,,
Greece,1989,1A1C,ABFLOW011,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A1C,ABFLOW011,Oil,,,,,,,,,,,,,,,
Greece,1989,1A2,ABFLOW012,Coal,,,,,,,,,,,,,,,
Greece,1989,1A2,ABFLOW012,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A2,ABFLOW012,Oil,,,,,,,,,,,,,,,
Greece,1989,1A2A,ABFLOW016,Coal,,,,,,,,,,,,,,,
Greece,1989,1A2A,ABFLOW016,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A2A,ABFLOW016,Oil,,,,,,,,,,,,,,,
Greece,1989,1A2B,ABFLOW018,Coal,,,,,,,,,,,,,,,
Greece,1989,1A2B,ABFLOW018,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A2B,ABFLOW018,Oil,,,,,,,,,,,,,,,
Greece,1989,1A2C,ABFLOW017,Coal,,,,,,,,,,,,,,,
Greece,1989,1A2C,ABFLOW017,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A2C,ABFLOW017,Oil,,,,,,,,,,,,,,,
Greece,1989,1A2D,ABFLOW023,Coal,,,,,,,,,,,,,,,
Greece,1989,1A2D,ABFLOW023,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A2D,ABFLOW023,Oil,,,,,,,,,,,,,,,
Greece,1989,1A2E,ABFLOW022,Coal,,,,,,,,,,,,,,,
Greece,1989,1A2E,ABFLOW022,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A2E,ABFLOW022,Oil,,,,,,,,,,,,,,,
Greece,1989,1A2F,ABFLOW019,Coal,,,,,,,,,,,,,,,
Greece,1989,1A2F,ABFLOW019,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A2F,ABFLOW019,Oil,,,,,,,,,,,,,,,
Greece,1989,1A2G,ABFLOW020,Coal,,,,,,,,,,,,,,,
Greece,1989,1A2G,ABFLOW020,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A2G,ABFLOW020,Oil,,,,,,,,,,,,,,,
Greece,1989,1A2H,ABFLOW021,Coal,,,,,,,,,,,,,,,
Greece,1989,1A2H,ABFLOW021,Natural gas,,,,,,,,,,,,,,,
Greece,1989,1A2H,ABFLOW021,Oil,,,,,,,,,,,,,,,
Greece,1989,1A2I,ABFLOW013,Coal,,,,,,,,,,,,,,,
