jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd,ets_price_usd,ets_2_price_usd,tax_rate_incl_ex_kusd,ets_price_kusd,ets_2_price_kusd,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Norway,1989,0,,,,,,,,,,,,,,,,,
Norway,1989,1,,,,,,,,,,,,,,,,,
Norway,1989,1A,ABFLOW001,Coal,,,,,,,,,,,,,,,
Norway,1989,1A,ABFLOW001,Natural gas,,,,,,,,,,,,,,,
Norway,1989,1A,ABFLOW001,Oil,,,,,,,,,,,,,,,
Norway,1989,1A1,,Coal,,,,,,,,,,,,,,,
Norway,1989,1A1,,Natural gas,,,,,,,,,,,,,,,
Norway,1989,1A1,,Oil,,,,,,,,,,,,,,,
Norway,1989,1A1A,ABFLOW002,Coal,,,,,,,,,,,,,,,
Norway,1989,1A1A,ABFLOW002,Natural gas,,,,,,,,,,,,,,,
Norway,1989,1A1A,ABFLOW002,Oil,,,,,,,,,,,,,,,
Norway,1989,1A1A1,ABFLOW003,Coal,,,,,,,,,,,,,,,
Norway,1989,1A1A1,ABFLOW003,Natural gas,,,,,,,,,,,,,,,
Norway,1989,1A1A1,ABFLOW003,Oil,,,,,,,,,,,,,,,
Norway,1989,1A1A2,ABFLOW004,Coal,,,,,,,,,,,,,,,
Norway,1989,1A1A2,ABFLOW004,Natural gas,,,,,,,,,,,,,,,
Norway,1989,1A1A2,ABFLOW004,Oil,,,,,,,,,,,,,,,
Norway,1989,1A1A3,ABFLOW005,Coal,,,,,,,,,,,,,,,
Norway,1989,1A1A3,ABFLOW005,Natural gas,,,,,,,,,,,,,,,
Norway,1989,1A1A3,ABFLOW005,Oil,,,,,,,,,,,,,,,
Norway,1989,1A1B,ABFLOW011,Coal,,,,,,,,,,,,,,,
Norway,1989,1A1B,ABFLOW011,Natural gas,,,,,,,,,,,,,,,
Norway,1989,1A1B,ABFLOW011,Oil,,,,,,,,,,,,,,,
Norway,1989,1A1C,ABFLOW011,Coal,,,,,,,,,,,,,,,
Norway,1989,1A1C,ABFLOW011,Natural gas,,,,,,,,,,,,,,,
Norway,1989,1A1C,ABFLOW011,Oil,,,,,,,,,,,,,,,
Norway,1989,1A2,ABFLOW012,Coal,,,,,,,,,,,,,,,
